8,2,3,4,5,6,7,8
NB,DN,A,H,G,B,L2,WT
0+1/8,6,0.69,0.88,0.125,0.25,0.2639,0.04
0+1/4,8,0.69,0.88,0.125,0.32,0.4018,0.08
0+3/8,10,0.75,1,0.125,0.36,0.4078,0.1
0+1/2,15,0.88,1.31,0.125,0.43,0.5337,0.19
0+3/4,20,1,1.5,0.125,0.5,0.5457,0.33
1,25,1.12,1.81,0.145,0.58,0.6828,0.47
1+1/4,32,1.31,2.19,0.153,0.67,0.7068,0.62
1+1/2,40,1.38,2.44,0.158,0.7,0.7235,0.78
2,50,1.69,2.97,0.168,0.75,0.7565,1.3
2+1/2,65,2.06,3.62,0.221,0.93,1.138,3.51
3,80,2.5,4.31,0.236,1.02,1.2,5.13
4,100,3.12,5.75,0.258,1.09,1.3,8.67
