7,2,3,4,5,6,7
nb,nb,M,N,O,P,kg
0+1/8,6,N/A,N/A,N/A,N/A,
0+1/4,8,1.16,1.38,1.89,2.53,
0+3/8,10,1.16,1.38,2.2,2.93,
0+1/2,15,1.34,1.55,2.44,3.34,
0+3/4,20,1.55,1.89,2.73,3.67,
1,25,1.81,2.3,3.06,4.16,
1+1/4,32,2.46,3.1,3.46,4.69,
1+1/2,40,2.46,3.1,4,5.1,
2,50,2.59,3.75,4.44,5.71,
