20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
nb,nb,A,E,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/2,C,wt,ID,Small end len,OA len,text,spare,Lower Limit,Higher Limit
0+1/8,6,N/A,ID>,2,6,8,11,13,17,38,<ID,N/A,ID,Small end len,OA len,text,spare,N/A,N/A
0+1/4,8,15,15,10,0,0,0,0,0,0,6,0.05,fordata,fordata,fordata,fordata,spare,3,3
0+3/8,10,18,16,0,15,0,0,0,0,0,8,0.06,fordata,fordata,fordata,fordata,spare,4,4
0+1/2,15,22,20,0,15,16,0,0,0,0,8,0.1,fordata,fordata,fordata,fordata,spare,4,5
0+3/4,20,27,21,0,0,16,20,0,0,0,9,0.12,fordata,fordata,fordata,fordata,spare,5,6
1,25,35,25,0,0,0,20,21,0,0,10,0.6,fordata,fordata,fordata,fordata,spare,6,7
1+1/2,40,50,26,0,0,0,20,21,25,0,16,0.74,fordata,fordata,fordata,fordata,spare,5,8
2,50,62,27,0,0,0,20,21,25,26,18,1.3,fordata,fordata,fordata,fordata,spare,6,9
