5,2,3,4,5
nb,nb,O,P,kg
0+1/8,3,N/A,N/A,N/A
0+1/4,8,53.98,46.04,0.45
0+3/8,10,57.15,50.8,0.6
0+1/2,15,69.06,60.33,0.85
0+3/4,20,72.23,72.23,1.4
1,25,80.17,80.17,1.75
1+1/4,32,88.9,93.66,3
1+1/2,40,107.95,100.01,4
2,50,114.3,122.24,6.1
2+1/2,65,130.18,143.67,9.4
3,80,150.02,180.18,15.5
