5,2,3,4,5
NB,DN,Length,Diameter,Kg
0+1/8,6,32,22,0.08
0+1/4,8,35,25,0.08
0+3/8,10,38,32,0.11
0+1/2,15,48,38,0.22
0+3/4,20,51,44,0.45
1,25,60,57,0.96
1+1/4,32,67,64,1.07
1+1/2,40,79,76,1.98
2,50,86,92,3.51
2+1/2,65,92,108,4.87
3,80,108,127,6.12
4,100,121,159,11.11
