8,2,3,4,5,6,7,8
NB,DN,A,H,G,B,L2,WT
0+1/8,6,0.81,0.88,0.125,0.25,0.2639,0.19
0+1/4,8,0.97,1,0.13,0.32,0.4018,0.25
0+3/8,10,1.12,1.31,0.138,0.36,0.4078,0.43
0+1/2,15,1.31,1.5,0.161,0.43,0.5337,0.68
0+3/4,20,1.5,1.81,0.17,0.5,0.5457,1.13
1,25,1.75,2.19,0.196,0.58,0.6828,1.64
1+1/4,32,2,2.44,0.208,0.67,0.7068,1.87
1+1/2,40,2.38,2.97,0.219,0.7,0.7235,2.94
2,50,2.5,3.31,0.281,0.75,0.7565,3.68
2+1/2,65,3.25,4,0.301,0.93,1.138,7.59
3,80,3.75,4.75,0.348,1.02,1.2,11.64
4,100,4.5,6,0.44,1.09,1.3,14.51
