23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,Bore,OD,RF Dia,Thick,Hub od Lar,Hub od sm,Hub Len,PCD,Bolt No,unc size,Hole Dia,studbolt length mm,Ring No,Grove Depth,Grove Diameter,Grove Wi,gap,Flg Wt  WN,Flg Wt  Bld,sb wt,J3 Hub len 1
1+13/16,46,1.84,8.19,4.19,1.78,3.84,2.81,4.39,6.31,8,0+7/8,1,6,BX-151,0.22,3.062,0.466,0,12.2,12.7,3.65,1.88
2+1/16,52,2.09,8.75,4.5,2,4.38,3.25,4.95,6.88,8,0+7/8,1,6.5,BX-152,0.23,3.395,0.498,0,15.8,16.7,4.59,2.12
2+9/16,65,2.59,10,5.25,2.25,5.06,3.94,5.42,7.88,8,1,1.12,7.25,BX-153,0.27,4.046,0.554,0,22.2,24.9,6.24,2.25
3+1/16,78,3.09,11.31,6.06,2.53,6.06,4.81,6.14,9.06,8,1+1/8,1.25,8,BX-154,0.3,4.685,0.606,0,32.6,37.2,11.63,2.5
4+1/16,103,4.09,14.19,7.62,3.09,7.69,6.25,7.3,11.44,8,1+3/8,1.5,9.75,BX-155,0.33,5.93,0.698,0,68,71.7,20.71,2.88
5+1/8,130,5.16,16.5,8.88,3.88,9.62,7.88,8.71,13.5,12,1+1/2,1.62,11.5,BX-169,0.38,6.955,0.666,0,100,138,40,3.22
7+1/16,179,7.09,19.88,12,4.69,12.81,10.88,10.45,16.88,16,1+1/2,1.62,13,BX-156,0.44,9.521,0.921,0,179.1,218.1,62.78,3.62
