22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
nb,nb,Bore,OD,RF Dia,Thick,Hub od Lar,Hub od sm,Hub Len,PCD,Bolt No,unc size,Hole Dia,studbolt length mm,Ring No,Grove Depth,Grove Diameter,Grove Wi,gap,Flg Wt  WN,Flg Wt  Bld,sb wt
1+13/16,46,46.8,185,105,42.1,88.9,65.1,48.4,146,8,0+3/4,23,140,BX-151,5.56,77.77,11.84,0,9,9.9,2.8
2+1/16,52,53.2,200,111,44.1,100,74.6,51.6,158.8,8,0+3/4,23,140,BX-152,5.59,86.23,12.65,0,10.8,12.2,3.4
2+9/16,65,65.9,230,132,51.3,120.6,92.1,57.1,184.2,8,0+7/8,26,170,BX-153,6.75,102.77,14.07,0,18.1,18.6,4.59
3+1/16,78,78.6,270,152,58.4,142.1,110.3,63.5,215.9,8,1,29,185,BX-154,7.54,119,15.39,0,28.1,27.6,6.24
4+1/16,103,104,315,185,70.3,182.6,146,73,258.8,8,1+1/8,32,220,BX-155,8.33,150.62,17.73,0,45.3,51.7,12
5+1/8,130,131,360,221,79.4,223.8,182.6,81,300,12,1+1/8,32,235,BX-169,9.53,176.66,16.92,0,50,60,18
