22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
nb,nb,Bore,OD,RF Dia,Thick,Hub od Lar,Hub od sm,Hub Len,PCD,Bolt No,unc size,Hole Dia,studbolt length mm,Ring No,Grove Depth,Grove Diameter,Grove Wi,gap,Flg Wt  WN,Flg Wt  Bld,sb wt
1+13/16,46,1.84,10.12,4.62,2.5,5.25,4.31,1.94,8,8,1,1.12,7.75,BX-151,0.22,3.062,0.466,0,26,28,6
2+1/16,52.4,2.09,11.31,5.19,2.81,6.06,5,2.06,9.06,8,1+1/8,1.25,8.5,BX-152,0.23,3.395,0.498,0,37,39,10
2+9/16,65.1,2.59,12.81,5.94,3.12,6.81,5.69,2.31,10.31,8,1+1/4,1.38,9.5,BX-153,0.27,4.046,0.554,0,53,56,14
3+1/16,77.8,3.09,14.06,6.75,3.38,7.56,6.31,2.5,11.31,8,1+3/8,1.5,10.25,BX-154,0.3,4.685,0.606,0,69,77,18
4+1/16,103.2,4.09,17.56,8.62,4.19,9.56,8.12,2.88,14.06,8,1+3/4,1.88,12.5,BX-155,0.33,5.93,0.698,0,130,142,34
