22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
nb,nb,Bore,OD,RF Dia,Thick,Hub od Lar,Hub od sm,Hub Len,PCD,Bolt No,unc size,Hole Dia,studbolt length mm,Ring No,Grove Depth,Grove Diameter,Grove Wi,gap,Flg Wt  WN,Flg Wt  Bld,sb wt
1+13/16,46,1.84,7.38,4.12,1.66,3.5,2.56,1.91,5.75,8,0+3/4,0.88,5.5,BX-151,0.22,3.062,0.466,0,9,9.9,2.8
2+1/16,52,2.09,7.88,4.38,1.73,3.94,2.94,2.03,6.25,8,0+3/4,0.88,5.5,BX-152,0.23,3.395,0.498,0,10.8,12.2,3.4
2+9/16,65,2.59,9.12,5.19,2.02,4.75,3.62,2.25,7.25,8,0+7/8,1,6.5,BX-153,0.27,4.046,0.554,0,18.1,18.6,4.59
3+1/16,78,3.09,10.62,6,2.3,5.59,4.34,2.5,8.5,8,1,1.12,7.25,BX-154,0.3,4.685,0.606,0,28.1,27.6,6.24
4+1/16,103,4.09,12.44,7.28,2.77,7.19,5.75,2.88,10.19,8,1+1/8,1.25,8.5,BX-155,0.33,5.93,0.698,0,45.3,51.7,12
5+1/8,130,5.16,14.06,8.69,3.13,8.81,7.19,3.19,11.81,12,1+1/8,1.25,9.25,BX-169,0.38,6.955,0.666,0,50,60,18
