23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,Bore,OD,RF Dia,Thick,Hub od Lar,Hub od sm,Hub Len,PCD,Bolt No,unc size,Hole Dia,studbolt length mm,Ring No,Grove Depth,Grove Diameter,Grove Wi,gap,Flg Wt  WN,Flg Wt  Bld,sb wt,J3 Hub len 1
1+13/16,46,46.8,255,117,63.5,133.4,109.5,144.3,203.2,8,1,29,200,BX-151,5.56,77.77,11.84,0,26,28,6,49.2
2+1/16,52.4,53.2,285,132,71.5,154,127,161.05,230.2,8,1+1/8,32,220,BX-152,5.95,86.23,12.65,0,37,39,10,52.4
2+9/16,65.1,65.9,325,151,79.4,173,144.5,177.65,261.9,8,1+1/4,35,245,BX-153,6.75,102.77,14.07,0,53,56,14,58.7
3+1/16,77.8,78.6,355,171,85.8,192.1,160.3,190.4,287.3,8,1+3/8,39,265,BX-154,7.54,119,15.39,0,69,77,18,63.5
4+1/16,103.2,104,445,219,106.4,242.9,206.4,230.85,357.2,8,1+3/4,48,320,BX-155,8.33,150.62,17.73,0,130,142,34,73
7+1/16,179.4,180.2,655,352,165.1,385.8,338.1,341.1,554,16,2,54,455,BX-156,1.11,241.83,23.39,0,418,N/A,128,96.8
