49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,90,60,14,4,12,17.2,18,21,31,14,16,16,16,3,12,5,N/A,N/A,N/A,22,35,6,35,N/A,N/A,28,30,28,4,1.8,40,2,0.604,0.722,0.678,0.646,0.646,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
0+1/2,15,95,65,14,4,12,21.3,22,25,35,14,16,16,16,3,12,5,N/A,N/A,N/A,22,38,6,38,N/A,N/A,32,35,32,4,2,45,2,0.67,0.813,0.768,0.722,0.722,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
0+3/4,20,105,75,14,4,12,26.9,27.5,31,42,16,18,18,18,4,14,6,N/A,N/A,N/A,26,40,6,40,N/A,N/A,40,45,40,4,2.3,58,2,0.936,1.14,1.09,1.04,1.04,70,80,80,80,80,0.35,0.38,0.38,0.38,0.38
1,25,115,85,14,4,12,33.7,34.5,38,49,16,18,18,18,4,14,7,N/A,N/A,N/A,28,40,6,40,N/A,N/A,46,52,50,4,2.6,68,2,1.11,1.38,1.3,1.25,1.25,70,80,80,80,80,0.35,0.38,0.38,0.38,0.38
1+1/4,32,140,100,18,4,16,42.4,43.5,47,59,18,18,18,18,5,14,8,N/A,N/A,N/A,30,42,6,42,N/A,N/A,56,60,60,6,2.6,78,2,1.82,2.03,1.91,1.81,1.81,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
1+1/2,40,150,110,18,4,16,48.3,49.5,53,67,18,18,18,18,5,14,8,N/A,N/A,N/A,32,45,7,45,N/A,N/A,64,70,70,6,2.6,88,3,2.08,2.35,2.15,2.06,2.06,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
2,50,165,125,18,4,16,60.3,61.5,65,77,20,20,20,20,5,16,10,N/A,N/A,N/A,34,48,8,48,N/A,N/A,75,84,84,6,2.9,102,3,2.73,3.2,2.85,2.74,2.74,100,100,100,100,100,0.84,0.84,0.84,0.84,0.84
2+1/2,65,185,145,18,8,16,76.1,77.5,81,96,22,22,22,22,6,16,11,N/A,N/A,55,38,52,10,52,N/A,N/A,90,104,104,6,2.9,122,3,3.48,4.29,3.68,3.65,3.65,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
3,80,200,160,18,8,16,88.9,90.5,94,114,24,24,24,24,6,18,12,N/A,N/A,70,40,58,12,58,N/A,N/A,105,118,120,8,3.2,138,3,4.32,5.54,4.78,4.59,4.59,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
4,100,235,190,22,8,20,114.3,116,120,138,26,24,24,24,6,20,14,N/A,N/A,90,44,65,12,65,N/A,N/A,134,145,142,8,3.6,162,3,6.07,7.6,6.46,6.1,6.1,120,120,120,120,120,3.24,3.24,3.24,3.24,3.24
5,125,270,220,26,8,24,139.7,141.5,145,166,28,26,26,26,6,22,16,N/A,N/A,115,48,68,12,68,N/A,N/A,162,170,162,8,4,188,3,8.19,10.8,8.86,8.22,8.22,140,140,140,140,140,5.52,5.52,5.52,5.52,5.52
6,150,300,250,26,8,24,168.3,170.5,174,194,30,28,28,28,6,24,18,N/A,N/A,140,52,75,12,75,N/A,N/A,192,200,192,10,4.5,218,3,10.3,14.6,11.7,10.6,10.6,140,140,140,140,140,5.52,5.52,5.52,5.52,5.52
8,200,360,310,26,12,24,219.1,221.5,226,250,32,30,30,30,6,26,18,N/A,N/A,190,52,80,16,80,N/A,N/A,244,256,252,10,6.3,278,3,14.3,22.5,17.1,14.9,14.9,150,140,140,140,140,8.65,8.29,8.29,8.29,8.29
10,250,425,370,30,12,27,273,276.5,281,302,35,32,32,32,8,26,18,N/A,N/A,235,60,88,18,88,N/A,N/A,298,310,304,12,7.1,335,3,20.1,33.5,24.3,20.9,20.9,160,160,160,160,160,12.19,12.19,12.19,12.19,12.19
12,300,485,430,30,16,27,323.9,327.5,333,356,38,34,34,34,8,28,20,N/A,N/A,285,67,92,18,92,N/A,N/A,352,364,364,12,8,395,4,26.6,46.3,31.8,27.3,27.3,170,160,160,160,160,16.87,16.25,16.25,16.25,16.25
14,350,555,490,33,16,30,355.6,359.5,365,408,42,38,38,38,8,32,22,N/A,N/A,332,72,100,20,100,N/A,N/A,398,418,418,12,8,450,4,41.8,68.1,48.8,45.1,45.1,190,180,180,180,180,23.26,22.51,22.51,22.51,22.51
16,400,620,550,36,16,33,406.4,411,416,462,48,40,40,40,8,34,24,N/A,N/A,380,78,110,20,110,N/A,N/A,452,472,472,12,8.8,505,4,57.6,89.7,63.3,57.7,57.7,210,200,200,200,200,30.81,29.9,29.9,29.9,29.9
18,450,670,600,36,20,33,457,462,467,510,54,46,46,50,8,36,26,N/A,N/A,425,84,110,20,110,N/A,N/A,500,520,520,12,8.8,555,4,69.8,130,76,69.6,69.6,220,220,210,210,210,39.65,39.65,38.52,38.52,38.52
20,500,730,660,36,20,33,508,513.5,519,568,58,48,48,51,8,38,28,N/A,N/A,475,90,125,20,125,N/A,N/A,558,580,580,12,10,615,4,87,159,97,87,87,230,220,210,210,210,40.82,39.65,38.52,38.52,38.52
24,600,845,770,39,20,36,610,616.5,622,670,68,48,58,66,8,40,30,N/A,N/A,575,100,125,20,115,N/A,N/A,660,684,684,12,11,720,5,127,278,121,111,111,260,260,220,220,220,56.03,56.03,50.38,50.38,50.38
28,700,960,875,42,24,39,711,N/A,721,N/A,85,50,N/A,N/A,8,N/A,30,N/A,N/A,N/A,N/A,129,20,125,N/A,N/A,760,N/A,780,12,N/A,820,5,N/A,N/A,155,N/A,N/A,310,140,240,240,240,92.18,58.03,78.12,78.12,78.12
32,800,1085,990,48,24,45,813,N/A,824,N/A,95,53,N/A,N/A,8,N/A,35,N/A,N/A,N/A,N/A,138,22,135,N/A,N/A,864,N/A,882,12,N/A,930,5,N/A,N/A,205,N/A,N/A,350,160,260,260,260,143.11,91.15,118.48,118.48,118.48
36,900,1185,1090,48,28,45,914,N/A,N/A,N/A,N/A,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,148,24,N/A,N/A,N/A,968,N/A,982,12,N/A,1030,5,N/A,N/A,249,N/A,N/A,160,160,270,270,270,106.34,106.34,141.42,141.42,141.42
40,1000,1320,1210,56,28,52,1016,N/A,N/A,N/A,N/A,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,160,24,N/A,N/A,N/A,1070,N/A,1086,16,N/A,1140,5,N/A,N/A,338,N/A,N/A,180,180,310,310,310,159.93,159.93,215.99,215.99,215.99
