49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,125,85,18,4,16,17.2,N/A,N/A,N/A,N/A,28,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65,8,N/A,N/A,N/A,48,N/A,48,4,3.6,40,2,N/A,N/A,2.55,N/A,N/A,60,60,110,110,110,0.64,0.64,0.9,0.9,0.9
0+1/2,15,145,100,22,4,20,26.9,N/A,N/A,N/A,N/A,30,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68,8,N/A,N/A,N/A,56,N/A,57,4,5,45,2,N/A,N/A,3.62,N/A,N/A,70,70,130,130,130,1.2,1.2,1.7,1.7,1.7
1,25,180,130,26,4,24,42.4,N/A,N/A,N/A,N/A,38,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,10,N/A,N/A,N/A,82,N/A,81,4,7.1,68,2,N/A,N/A,7.45,N/A,N/A,80,80,160,160,160,2.04,2.04,3,3,3
1+1/2,40,220,165,30,4,27,60.3,N/A,N/A,N/A,N/A,48,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110,12,N/A,N/A,N/A,106,N/A,105,6,10,88,2,N/A,N/A,14.1,N/A,N/A,90,90,190,190,190,2.98,2.98,4.52,4.52,4.52
2,50,235,180,30,8,27,76.1,N/A,N/A,N/A,N/A,52,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120,15,N/A,N/A,N/A,120,N/A,120,6,12.5,102,2,N/A,N/A,16.7,N/A,N/A,90,90,200,200,200,5.97,5.97,9.35,9.35,9.35
2+1/2,65,290,225,33,8,30,101.6,N/A,N/A,N/A,N/A,64,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,135,18,N/A,N/A,N/A,158,N/A,158,6,16,122,3,N/A,N/A,31.6,N/A,N/A,100,100,230,230,230,8.27,8.27,13.11,13.11,13.11
3,80,305,240,33,8,30,114.3,N/A,N/A,N/A,N/A,68,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150,20,N/A,N/A,N/A,174,N/A,174,8,17.5,138,3,N/A,N/A,38.4,N/A,N/A,100,100,240,240,240,8.27,8.27,13.49,13.49,13.49
4,100,370,295,39,8,36,139.7,N/A,N/A,N/A,N/A,80,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175,25,N/A,N/A,N/A,216,N/A,216,8,22.2,162,3,N/A,N/A,67.3,N/A,N/A,130,130,290,290,290,15.07,15.07,24.1,24.1,24.1
5,125,415,340,39,12,36,193.7,N/A,N/A,N/A,N/A,92,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,200,30,N/A,N/A,N/A,258,N/A,259,8,30,188,3,N/A,N/A,94.5,N/A,N/A,130,130,310,310,310,22.6,22.6,37.85,37.85,37.85
6,150,475,390,42,12,39,219.1,N/A,N/A,N/A,N/A,105,105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,225,35,N/A,N/A,N/A,302,N/A,302,10,35,218,3,N/A,N/A,145,N/A,N/A,140,140,350,350,350,29.01,29.01,50.11,50.11,50.11
8,200,585,490,48,16,45,273,N/A,N/A,N/A,N/A,130,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,280,40,N/A,N/A,N/A,388,N/A,388,10,40,265,3,N/A,N/A,270,N/A,N/A,160,160,420,420,420,60.76,60.76,108.15,108.15,108.15
