49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,Qty,M Size,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,125,85,18,4,16,N/A,N/A,N/A,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,N/A,N/A,40,2,N/A,N/A,2,N/A,N/A,60,60,60,60,60,0.64,0.64,0.64,0.64,0.64
0+1/2,15,130,90,18,4,16,21.3,N/A,N/A,N/A,N/A,26,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,60,6,N/A,N/A,N/A,48,,52,4,2.6,45,2,N/A,N/A,2.51,N/A,N/A,60,60,110,110,110,0.64,0.64,0.9,0.9,0.9
1,25,150,105,22,4,20,33.7,N/A,N/A,N/A,N/A,28,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65,65,8,N/A,N/A,N/A,60,,63,4,3.6,68,2,N/A,N/A,3.58,N/A,N/A,70,70,130,130,130,1.2,1.2,1.7,1.7,1.7
1+1/4,40,185,135,26,4,24,48.3,N/A,N/A,N/A,N/A,34,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,80,10,N/A,N/A,N/A,84,,90,6,5,88,2,N/A,N/A,6.72,N/A,N/A,80,80,150,150,150,2.04,2.04,2.88,2.88,2.88
2,50,200,150,26,8,24,60.3,N/A,N/A,N/A,N/A,38,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,85,10,N/A,N/A,N/A,95,,102,6,6.3,102,2,N/A,N/A,8.22,N/A,N/A,80,80,160,160,160,4.09,4.09,6,6,6
2+1/2,65,230,180,26,8,24,76.1,N/A,N/A,N/A,N/A,42,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,95,12,N/A,N/A,N/A,124,,125,6,8,122,3,N/A,N/A,12.8,N/A,N/A,80,80,170,170,170,4.09,4.09,6.24,6.24,6.24
3,80,255,200,30,8,27,101.6,N/A,N/A,N/A,N/A,46,46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,102,12,N/A,N/A,N/A,136,,142,8,11,138,3,N/A,N/A,16.5,N/A,N/A,90,90,190,190,190,5.97,5.97,9.05,9.05,9.05
4,100,300,235,33,8,30,127,N/A,N/A,N/A,N/A,54,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120,120,14,N/A,N/A,N/A,164,,168,8,14.2,162,3,N/A,N/A,27.2,N/A,N/A,100,100,210,210,210,8.27,8.27,12.37,12.37,12.37
5,125,340,275,33,12,30,152.4,N/A,N/A,N/A,N/A,60,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,140,140,16,N/A,N/A,N/A,200,,207,8,16,188,3,N/A,N/A,39,N/A,N/A,100,100,220,220,220,12.4,12.4,19.12,19.12,19.12
6,150,390,320,36,12,33,177.8,N/A,N/A,N/A,N/A,68,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,160,160,18,N/A,N/A,N/A,240,,246,10,17.5,218,3,N/A,N/A,59.6,N/A,N/A,120,120,250,250,250,16.92,16.92,25.87,25.87,25.87
8,200,485,400,42,12,39,244.5,N/A,N/A,N/A,N/A,82,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,190,190,25,N/A,N/A,N/A,305,,314,10,25,285,3,N/A,N/A,110,N/A,N/A,140,140,300,300,300,29.01,29.01,45.08,45.08,45.08
10,250,585,490,48,16,45,298.5,N/A,N/A,N/A,N/A,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,215,215,30,N/A,N/A,N/A,385,,394,12,32,345,3,N/A,N/A,190,N/A,N/A,160,160,360,360,360,60.76,60.76,97.21,97.21,97.21
