49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,100,70,14,4,12,17.2,18,N/A,N/A,20,20,20,20,N/A,N/A,N/A,N/A,N/A,N/A,28,45,6,N/A,N/A,N/A,32,40,40,4,,40,2,1,1.04,1.09,1.07,1.07,80,80,80,80,80,0.38,0.38,0.38,0.38,0.38
0+1/2,15,105,75,14,4,12,21.3,22,N/A,N/A,20,20,20,20,N/A,N/A,N/A,N/A,N/A,N/A,28,45,6,N/A,N/A,N/A,34,43,45,4,,45,2,1.1,1.16,1.2,1.17,1.17,80,80,80,80,80,0.38,0.38,0.38,0.38,0.38
0+3/4,20,130,90,18,4,16,26.9,27.5,N/A,N/A,22,22,22,22,N/A,N/A,N/A,N/A,N/A,N/A,30,48,8,N/A,N/A,N/A,42,52,50,4,,58,2,1.86,1.97,2.02,1.96,1.96,100,100,100,100,100,0.84,0.84,0.84,0.84,0.84
1,25,140,100,18,4,16,33.7,34.5,N/A,N/A,24,24,24,24,N/A,N/A,N/A,N/A,N/A,N/A,32,58,8,N/A,N/A,N/A,52,60,61,4,,68,2,2.37,2.54,2.63,2.49,2.49,100,100,100,100,100,0.84,0.84,0.84,0.84,0.84
1+1/4,32,155,110,22,4,20,42.4,43.5,N/A,N/A,24,24,26,24,N/A,N/A,N/A,N/A,N/A,N/A,32,60,8,N/A,N/A,N/A,62,68,68,6,,78,2,2.79,3.07,3.2,2.95,2.95,120,120,120,120,120,1.62,1.62,1.62,1.62,1.62
1+1/2,40,170,125,22,4,20,48.3,49.5,N/A,N/A,26,26,28,26,N/A,N/A,N/A,N/A,N/A,N/A,34,62,10,N/A,N/A,N/A,70,80,82,6,,88,3,3.58,3.97,4.07,3.8,3.8,120,120,120,120,120,1.62,1.62,1.62,1.62,1.62
2,50,195,145,26,4,24,60.3,61.5,N/A,N/A,28,28,30,28,N/A,N/A,N/A,N/A,N/A,N/A,36,68,10,N/A,N/A,N/A,90,95,96,6,,102,3,4.99,5.64,5.82,5.28,5.28,140,140,140,140,140,2.76,2.76,2.76,2.76,2.76
2+1/2,65,220,170,26,8,24,76.1,77.5,N/A,N/A,30,30,34,30,N/A,N/A,N/A,N/A,N/A,45,40,76,12,N/A,N/A,N/A,108,118,118,6,,122,3,6.33,7.44,7.57,6.84,6.84,140,140,140,140,140,5.52,5.52,5.52,5.52,5.52
3,80,230,180,26,8,24,88.9,90.5,N/A,N/A,34,32,36,32,N/A,N/A,N/A,N/A,N/A,60,44,78,12,N/A,N/A,N/A,120,130,128,8,,138,3,7.72,8.85,8.82,7.94,7.94,150,150,150,150,150,5.76,5.76,5.76,5.76,5.76
4,100,265,210,30,8,27,114.3,116,N/A,N/A,36,36,40,36,N/A,N/A,N/A,N/A,N/A,80,52,90,12,N/A,N/A,N/A,150,158,150,8,,162,3,10.3,13.3,13.1,11.5,11.5,170,170,170,170,170,8.43,8.43,8.43,8.43,8.43
5,125,315,250,33,8,30,139.7,141.5,N/A,N/A,42,40,40,40,N/A,N/A,N/A,N/A,N/A,105,56,105,12,N/A,N/A,N/A,180,188,185,8,,188,3,17.2,21.3,21,17.9,17.9,190,180,180,180,180,11.63,11.25,11.25,11.25,11.25
6,150,355,290,33,12,30,168.3,170.5,N/A,N/A,48,44,44,44,N/A,N/A,N/A,N/A,N/A,130,60,115,12,N/A,N/A,N/A,210,225,216,10,,218,3,23.6,29.4,28.3,23.8,23.8,200,190,190,190,190,18,17.44,17.44,17.44,17.44
8,200,430,360,36,12,33,219.1,221.5,N/A,N/A,60,52,52,52,N/A,N/A,N/A,N/A,N/A,180,N/A,130,16,N/A,N/A,N/A,278,N/A,278,10,,285,3,42.9,52.7,50.2,N/A,N/A,240,220,220,220,220,25.17,23.79,23.79,23.79,23.79
10,250,505,430,39,12,36,273,276.5,N/A,N/A,72,60,60,60,N/A,N/A,N/A,N/A,N/A,210,N/A,157,18,N/A,N/A,N/A,340,N/A,340,12,,345,3,69,85.4,81.4,N/A,N/A,270,250,250,250,250,34.46,32.77,32.77,32.77,32.77
12,300,585,500,42,16,39,323.9,327.5,N/A,N/A,84,68,68,68,N/A,N/A,N/A,N/A,N/A,260,N/A,170,18,N/A,N/A,N/A,400,N/A,407,12,,410,4,104,128,118,N/A,N/A,300,270,270,270,270,60.11,56.09,56.09,56.09,56.09
14,350,655,560,48,16,45,355.6,359.5,N/A,N/A,95,74,74,74,N/A,N/A,N/A,N/A,N/A,300,N/A,189,20,N/A,N/A,N/A,460,N/A,460,12,,465,4,150,175,169,N/A,N/A,350,310,310,310,310,95.4,88.11,88.11,88.11,88.11
