49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,125,85,18,4,16,17.2,N/A,N/A,N/A,N/A,24,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,6,N/A,N/A,N/A,44,N/A,46,4,2.6,40,2,N/A,N/A,2.14,N/A,N/A,60,60,100,100,100,0.64,0.64,0.84,0.84,0.84
0+1/2,15,130,90,18,4,16,21.3,N/A,N/A,N/A,N/A,26,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,6,N/A,N/A,N/A,48,N/A,52,4,3.2,45,2,N/A,N/A,2.53,N/A,N/A,60,60,110,110,110,0.64,0.64,0.9,0.9,0.9
1,25,160,115,22,4,20,33.7,N/A,N/A,N/A,N/A,34,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,8,N/A,N/A,N/A,68,N/A,72,4,5,68,2,N/A,N/A,5.18,N/A,N/A,70,70,140,140,140,1.2,1.2,1.78,1.78,1.78
1+1/2,40,195,145,26,4,24,48.3,N/A,N/A,N/A,N/A,38,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88,10,N/A,N/A,N/A,92,N/A,96,6,6.3,88,2,N/A,N/A,8.65,N/A,N/A,80,80,160,160,160,2.04,2.04,3,3,3
2,50,210,160,26,8,24,63.5,N/A,N/A,N/A,N/A,42,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,10,N/A,N/A,N/A,106,N/A,110,6,8,102,2,N/A,N/A,10.7,N/A,N/A,80,80,170,170,170,4.09,4.09,6.24,6.24,6.24
2+1/2,65,255,200,30,8,27,88.9,N/A,N/A,N/A,N/A,51,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120,12,N/A,N/A,N/A,138,N/A,137,6,11,122,3,N/A,N/A,19.5,N/A,N/A,90,90,200,200,200,5.97,5.97,9.35,9.35,9.35
3,80,275,220,30,8,27,101.6,N/A,N/A,N/A,N/A,55,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,130,14,N/A,N/A,N/A,156,N/A,160,8,12.5,138,3,N/A,N/A,25.2,N/A,N/A,90,90,200,200,200,5.97,5.97,9.35,9.35,9.35
4,100,335,265,36,8,33,133,N/A,N/A,N/A,N/A,65,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,145,16,N/A,N/A,N/A,186,N/A,190,8,16,162,3,N/A,N/A,42.5,N/A,N/A,120,120,250,250,250,11.27,11.27,17.24,17.24,17.24
5,125,380,310,36,12,33,168.3,N/A,N/A,N/A,N/A,75,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175,20,N/A,N/A,N/A,230,N/A,235,8,20,188,3,N/A,N/A,63.6,N/A,N/A,120,120,270,270,270,16.92,16.92,27.23,27.23,27.23
6,150,425,350,39,12,36,193.7,N/A,N/A,N/A,N/A,84,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,195,25,N/A,N/A,N/A,265,N/A,266,10,25,218,3,N/A,N/A,91.5,N/A,N/A,130,130,290,290,290,22.6,22.6,36.15,36.15,36.15
8,200,525,440,42,16,39,244.5,N/A,N/A,N/A,N/A,103,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235,30,N/A,N/A,N/A,345,N/A,350,10,30,285,3,N/A,N/A,172,N/A,N/A,140,140,340,340,340,38.68,38.68,65.47,65.47,65.47
10,250,640,540,52,16,48,323.9,N/A,N/A,N/A,N/A,125,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,300,40,N/A,N/A,N/A,428,N/A,432,12,40,345,3,N/A,N/A,312,N/A,N/A,170,170,420,420,420,74.2,74.2,125.93,125.93,125.93
