49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,90,60,14,4,12,17.2,18,21,31,14,16,16,16,3,12,5,2,2.5,N/A,22,35,6,35,35,7,28,30,28,4,1.8,40,2,0.604,0.722,0.678,0.646,0.646,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
0+1/2,15,95,65,14,4,12,21.3,22,25,35,14,16,16,16,3,12,5,2,2.5,N/A,22,38,6,38,38,7,32,35,32,4,2,45,2,0.67,0.813,0.768,0.722,0.722,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
0+3/4,20,105,75,14,4,12,26.9,27.5,31,42,16,18,18,18,4,14,6,2.5,3,N/A,26,40,6,40,40,8,40,45,40,4,2.3,58,2,0.936,1.14,1.09,1.04,1.04,70,80,80,80,80,0.35,0.38,0.38,0.38,0.38
1,25,115,85,14,4,12,33.7,34.5,38,49,16,18,18,18,4,14,7,2.5,3,N/A,28,40,6,40,40,10,46,52,50,4,2.6,68,2,1.11,1.38,1.3,1.25,1.25,70,80,80,80,80,0.35,0.38,0.38,0.38,0.38
1+1/4,32,140,100,18,4,16,42.4,43.5,47,59,18,18,18,18,5,14,8,3,3,N/A,30,42,6,42,42,12,56,60,60,6,2.6,78,2,1.82,2.03,1.91,1.81,1.81,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
1+1/2,40,150,110,18,4,16,48.3,49.5,53,67,18,18,18,18,5,14,8,3,3,N/A,32,45,7,45,45,15,64,70,70,6,2.6,88,3,2.08,2.35,2.15,2.06,2.06,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
2,50,165,125,18,4,16,60.3,61.5,65,77,20,18,18,18,5,16,8,3,4,N/A,28,45,8,45,45,20,74,84,84,6,2.9,102,3,2.73,2.88,2.53,2.39,2.39,100,90,90,90,90,0.84,0.79,0.79,0.79,0.79
2+1/2,65,185,145,18,8,16,76.1,77.5,81,96,20,18,18,18,6,16,8,3,4,55,32,45,10,45,45,20,92,104,104,6,2.9,122,3,3.16,3.51,3.03,2.97,2.97,100,90,90,90,90,1.69,1.59,1.59,1.59,1.59
3,80,200,160,18,8,16,88.9,90.5,94,108,20,20,20,20,6,16,10,3,4,70,34,50,10,50,50,25,105,118,120,6,3.2,138,3,3.6,4.61,3.92,3.78,3.78,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
4,100,220,180,18,8,16,114.3,116,120,134,22,20,20,20,6,18,10,4,4,90,40,52,12,52,52,25,131,140,140,8,3.6,158,3,4.39,5.65,4.62,4.38,4.38,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
5,125,250,210,18,8,16,139.7,141.5,145,162,22,22,22,22,6,18,10,4,4,115,44,55,12,55,55,25,156,168,170,8,4,188,3,5.41,8.13,6.3,6.07,6.07,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
6,150,285,240,22,8,20,168.3,170.5,174,188,24,22,22,22,6,20,10,5,5,140,44,55,12,55,55,25,184,195,190,10,4.5,212,3,7.14,10.5,7.81,7.24,7.24,120,110,110,110,110,3.24,3.08,3.08,3.08,3.08
8,200,340,295,22,12,20,219.1,221.5,226,240,26,24,24,24,6,20,11,6,6,190,44,62,16,62,62,30,235,246,246,10,6.3,268,3,9.73,16.2,11.5,9.8,9.8,120,120,120,120,120,4.86,4.86,4.86,4.86,4.86
10,250,405,355,26,12,24,273,276.5,281,294,29,26,26,26,8,22,12,10,N/A,235,46,70,16,70,68,N/A,292,298,296,12,6.3,320,3,14.2,25,16.7,13.6,13.6,140,140,140,140,140,8.29,8.29,8.29,8.29,8.29
12,300,460,410,26,12,24,323.9,327.5,333,348,32,28,28,28,8,24,14,10,N/A,285,46,78,16,78,68,N/A,344,350,350,12,7.1,378,4,19,35.1,22.1,17.2,17.2,150,140,140,140,140,8.65,8.29,8.29,8.29,8.29
14,350,520,470,26,16,24,355.6,359,365,400,35,30,30,30,8,26,18,10,N/A,330,57,82,16,82,68,N/A,390,400,410,12,8,438,4,28.2,48,32.8,27.9,27.9,150,140,140,140,140,11.53,11.05,11.05,11.05,11.05
16,400,580,525,30,16,27,406.4,411,416,454,38,32,32,32,8,28,20,10,N/A,380,63,85,16,85,72,N/A,445,456,458,12,8,490,4,35.9,63.5,41.1,35.7,35.7,170,160,160,160,160,16.87,16.25,16.25,16.25,16.25
18,450,640,585,30,20,27,457,462,467,500,42,34,40,40,8,30,22,N/A,N/A,425,68,83,16,87,N/A,N/A,490,502,516,12,8,550,4,46.1,96.6,50.6,45,45,180,170,160,160,160,21.85,21.1,20.32,20.32,20.32
20,500,715,650,33,20,30,508,513.5,519,556,46,36,44,44,8,32,22,N/A,N/A,475,73,84,16,90,N/A,N/A,548,559,576,12,8,610,4,64,133,66.2,60.4,60.4,200,190,180,180,180,30,29.07,28.14,28.14,28.14
24,600,840,770,36,20,33,610,616.5,622,660,55,40,54,54,8,32,24,N/A,N/A,575,83,88,18,95,N/A,N/A,670,658,690,12,8.8,725,5,102,226,104,94,94,230,220,200,200,200,40.82,39.65,37.38,37.38,37.38
28,700,910,840,36,24,33,711,N/A,721,N/A,63,40,N/A,58,8,N/A,26,N/A,N/A,670,83,104,18,100,N/A,N/A,755,760,760,12,N/A,795,5,N/A,285,96.5,N/A,N/A,240,230,200,200,200,50.35,48.98,44.85,44.85,44.85
32,800,1025,950,39,24,36,813,N/A,824,N/A,74,41,N/A,62,8,N/A,28,N/A,N/A,770,90,108,20,105,N/A,N/A,855,864,862,12,N/A,900,5,N/A,388,122,N/A,N/A,270,250,210,210,210,68.92,65.54,58.77,58.77,58.77
36,900,1125,1050,39,28,36,914,N/A,926,N/A,82,48,N/A,64,8,N/A,30,N/A,N/A,860,94,118,20,110,N/A,N/A,955,968,962,12,N/A,1000,5,N/A,483,155,N/A,N/A,290,250,220,220,220,84.36,76.46,70.53,70.53,70.53
40,1000,1255,1170,42,28,39,1016,N/A,1030,N/A,90,59,N/A,68,8,N/A,35,N/A,N/A,960,100,137,22,120,N/A,N/A,1058,1072,1076,15,N/A,1115,5,N/A,640,233,N/A,N/A,320,270,250,250,250,109.87,98.16,93.49,93.49,93.49
48,1200,1485,1390,48,32,45,1219,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1160,N/A,160,30,N/A,N/A,N/A,1262,N/A,1282,16,N/A,1330,5,N/A,N/A,390,N/A,N/A,160,160,310,310,310,121.53,121.53,176.22,176.22,176.22
56,1400,1685,1590,48,36,45,1422,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1346,N/A,177,30,N/A,N/A,N/A,1465,N/A,1482,16,N/A,1530,5,N/A,N/A,495,N/A,N/A,160,160,330,330,330,136.72,136.72,206.46,206.46,206.46
64,1600,1930,1820,56,40,52,1626,N/A,N/A,N/A,N/A,102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1546,N/A,204,35,N/A,N/A,N/A,1668,N/A,1696,16,N/A,1750,5,N/A,N/A,760,N/A,N/A,180,180,390,390,390,228.47,228.47,357.83,357.83,357.83
72,1800,2130,2020,56,44,52,1829,N/A,N/A,N/A,N/A,110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1746,N/A,218,35,N/A,N/A,N/A,1870,N/A,1896,16,N/A,1950,5,N/A,N/A,929,N/A,N/A,180,180,400,400,400,251.32,251.32,400.39,400.39,400.39
80,2000,2345,2230,62,48,56,2032,N/A,N/A,N/A,N/A,124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1950,N/A,238,40,N/A,N/A,N/A,2072,N/A,2100,16,N/A,2150,5,N/A,N/A,1185,N/A,N/A,200,200,440,440,440,337.72,337.72,539.08,539.08,539.08
