49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,SPA,SPA,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,90,60,14,4,12,17.2,18,21,31,14,16,16,16,3,12,5,N/A,N/A,N/A,22,35,6,35,SPA,SPA,28,30,28,4,1.8,40,2,0.604,0.722,0.678,0.646,0.646,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
0+1/2,15,95,65,14,4,12,21.3,22,25,35,14,16,16,16,3,12,5,N/A,N/A,N/A,22,38,6,38,SPA,SPA,32,35,32,4,2,45,2,0.67,0.813,0.768,0.722,0.722,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
0+3/4,20,105,75,14,4,12,26.9,27.5,31,42,16,18,18,18,4,14,6,N/A,N/A,N/A,26,40,6,40,SPA,SPA,40,45,40,4,2.3,58,2,0.936,1.14,1.09,1.04,1.04,70,80,80,80,80,0.35,0.38,0.38,0.38,0.38
1,25,115,85,14,4,12,33.7,34.5,38,49,16,18,18,18,4,14,7,N/A,N/A,N/A,28,40,6,40,SPA,SPA,46,52,50,4,2.6,68,2,1.11,1.38,1.3,1.25,1.25,70,80,80,80,80,0.35,0.38,0.38,0.38,0.38
1+1/4,32,140,100,18,4,16,42.4,43.5,47,59,18,18,18,18,5,14,8,N/A,N/A,N/A,30,42,6,42,SPA,SPA,56,60,60,6,2.6,78,2,1.82,2.03,1.91,1.81,1.81,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
1+1/2,40,150,110,18,4,16,48.3,49.5,53,67,18,18,18,18,5,14,8,N/A,N/A,N/A,32,45,7,45,SPA,SPA,64,70,70,6,2.6,88,3,2.08,2.35,2.15,2.06,2.06,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
2,50,165,125,18,4,16,60.3,61.5,65,77,20,20,20,20,5,16,10,N/A,N/A,N/A,34,48,8,48,SPA,SPA,75,84,84,6,2.9,102,3,2.73,3.2,2.85,2.74,2.74,100,100,100,100,100,0.84,0.84,0.84,0.84,0.84
2+1/2,65,185,145,18,8,16,76.1,77.5,81,96,22,22,22,22,6,16,11,N/A,N/A,55,38,52,10,52,SPA,SPA,90,104,104,6,2.9,122,3,3.48,4.29,3.68,3.65,3.65,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
3,80,200,160,18,8,16,88.9,90.5,94,114,24,24,24,24,6,18,12,N/A,N/A,70,40,58,12,58,SPA,SPA,105,118,120,8,3.2,138,3,4.32,5.54,4.78,4.59,4.59,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
4,100,235,190,22,8,20,114.3,116,120,138,26,24,24,24,6,20,14,N/A,N/A,90,44,65,12,65,SPA,SPA,134,145,142,8,3.6,162,3,6.07,7.6,6.46,6.1,6.1,120,120,120,120,120,3.24,3.24,3.24,3.24,3.24
5,125,270,220,26,8,24,139.7,141.5,145,166,28,26,26,26,6,22,16,N/A,N/A,115,48,68,12,68,SPA,SPA,162,170,162,8,4,188,3,8.19,10.8,8.86,8.22,8.22,140,140,140,140,140,5.52,5.52,5.52,5.52,5.52
6,150,300,250,26,8,24,168.3,170.5,174,194,30,28,28,28,6,24,18,N/A,N/A,140,52,75,12,75,SPA,SPA,192,200,192,10,4.5,218,3,10.3,14.6,11.7,10.6,10.6,140,140,140,140,140,5.52,5.52,5.52,5.52,5.52
8,200,375,320,30,12,27,219.1,221.5,226,250,36,34,34,36,6,28,20,N/A,N/A,190,52,88,16,88,SPA,SPA,244,260,254,10,6.3,285,3,17.9,28.8,21,18.3,18.3,170,170,160,160,160,12.66,12.66,12.19,12.19,12.19
10,250,450,385,33,12,30,273,276.5,281,312,42,38,38,38,8,30,22,N/A,N/A,235,60,105,18,105,SPA,SPA,306,312,312,12,7.1,345,3,29.3,44.4,34.2,28.3,28.3,190,180,180,180,180,17.44,16.88,16.88,16.88,16.88
12,300,515,450,33,16,30,323.9,327.5,333,368,52,42,42,42,8,34,25,N/A,N/A,285,67,115,18,115,SPA,SPA,362,380,378,12,8,410,4,45.1,64.2,47.6,40.4,40.4,210,190,190,190,190,24.75,23.26,23.26,23.26,23.26
14,350,580,510,36,16,33,355.6,359.5,365,418,58,46,46,46,8,36,28,N/A,N/A,330,72,125,20,125,SPA,SPA,408,424,432,12,8.8,465,4,66.7,89.5,69.3,58.8,58.8,230,210,210,210,210,32.65,30.81,30.81,30.81,30.81
16,400,660,585,39,16,36,406.4,411,416,472,65,50,50,50,8,42,32,N/A,N/A,380,78,135,20,135,SPA,SPA,462,478,498,12,11,535,4,97.1,127,98,82.1,82.1,260,230,230,230,230,44.83,41.43,41.43,41.43,41.43
18,450,685,610,39,20,36,457,462,467,510,,57,57,57,8,46,N/A,N/A,N/A,425,84,135,20,N/A,SPA,SPA,500,522,522,12,12.5,560,4,N/A,154,105,86.2,86.2,130,240,240,240,240,37.67,53.2,53.2,53.2,53.2
20,500,755,670,42,20,39,508,513.5,519,572,,57,57,57,8,50,N/A,N/A,N/A,475,90,140,20,N/A,SPA,SPA,562,576,576,12,14.2,615,4,N/A,188,130,105,105,140,250,250,250,250,48.35,66.78,66.78,66.78,66.78
24,600,890,795,48,20,45,610,616.5,622,676,,72,72,72,8,54,N/A,N/A,N/A,575,100,150,20,N/A,SPA,SPA,666,686,686,12,16,735,5,N/A,331,209,172,172,160,300,300,300,300,75.95,107.85,107.85,107.85,107.85
