49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,100,70,14,4,12,17.2,18,N/A,N/A,20,20,20,20,N/A,N/A,N/A,N/A,N/A,N/A,28,45,6,N/A,N/A,N/A,32,40,40,4,,40,2,1,1.04,1.09,1.07,1.07,80,80,80,80,80,0.38,0.38,0.38,0.38,0.38
0+1/2,15,105,75,14,4,12,21.3,22,N/A,N/A,20,20,20,20,N/A,N/A,N/A,N/A,N/A,N/A,28,45,6,N/A,N/A,N/A,34,43,45,4,,45,2,1.1,1.16,1.2,1.17,1.17,80,80,80,80,80,0.38,0.38,0.38,0.38,0.38
0+3/4,20,130,90,18,4,16,26.9,27.5,N/A,N/A,22,22,22,22,N/A,N/A,N/A,N/A,N/A,N/A,30,48,8,N/A,N/A,N/A,42,52,50,4,,58,2,1.86,1.97,2.02,1.96,1.96,100,100,100,100,100,0.84,0.84,0.84,0.84,0.84
1,25,140,100,18,4,16,33.7,34.5,N/A,N/A,24,24,24,24,N/A,N/A,N/A,N/A,N/A,N/A,32,58,8,N/A,N/A,N/A,52,60,61,4,,68,2,2.37,2.54,2.63,2.49,2.49,100,100,100,100,100,0.84,0.84,0.84,0.84,0.84
1+1/4,32,155,110,22,4,20,42.4,43.5,N/A,N/A,24,24,26,24,N/A,N/A,N/A,N/A,N/A,N/A,32,60,8,N/A,N/A,N/A,62,68,68,6,,78,2,2.79,3.07,3.2,2.95,2.95,120,120,120,120,120,1.62,1.62,1.62,1.62,1.62
1+1/2,40,170,125,22,4,20,48.3,49.5,N/A,N/A,26,26,28,26,N/A,N/A,N/A,N/A,N/A,N/A,34,62,10,N/A,N/A,N/A,70,80,82,6,,88,3,3.58,3.97,4.07,3.8,3.8,120,120,120,120,120,1.62,1.62,1.62,1.62,1.62
2,50,180,135,22,4,20,60.3,61.5,N/A,N/A,26,26,26,26,N/A,N/A,N/A,N/A,N/A,N/A,36,62,10,N/A,N/A,N/A,82,90,90,6,,102,3,4.99,4.52,4.51,4.2,4.2,120,120,120,120,120,1.62,1.62,1.62,1.62,1.62
2+1/2,65,205,160,22,8,20,76.1,77.5,N/A,N/A,26,26,26,26,N/A,N/A,N/A,N/A,N/A,45,40,68,12,N/A,N/A,N/A,98,112,105,6,,122,3,4.73,5.69,5.58,5.3,5.3,120,120,120,120,120,3.24,3.24,3.24,3.24,3.24
3,80,215,170,22,8,20,88.9,90.5,N/A,N/A,30,28,28,28,N/A,N/A,N/A,N/A,N/A,60,44,72,12,N/A,N/A,N/A,112,125,122,8,,138,3,5.9,6.89,6.68,6.25,6.25,130,130,130,130,130,3.4,3.4,3.4,3.4,3.4
4,100,250,200,26,8,24,114.3,116,N/A,N/A,32,30,30,30,N/A,N/A,N/A,N/A,N/A,80,52,78,12,N/A,N/A,N/A,138,152,146,8,,162,3,8.05,10,9.27,8.81,8.81,150,140,140,140,140,5.76,5.52,5.52,5.52,5.52
5,125,295,240,30,8,27,139.7,141.5,N/A,N/A,34,34,34,34,N/A,N/A,N/A,N/A,N/A,105,56,88,12,N/A,N/A,N/A,168,185,177,8,,188,3,11.7,15.9,14.5,13.6,13.6,160,160,160,160,160,8.12,8.12,8.12,8.12,8.12
6,150,345,280,33,8,30,168.3,170.5,N/A,N/A,36,36,36,36,N/A,N/A,N/A,N/A,N/A,130,60,95,12,N/A,N/A,N/A,202,215,204,10,,218,3,16.9,23.3,21.4,19.5,19.5,180,180,180,180,180,11.25,11.25,11.25,11.25,11.25
8,200,415,345,36,12,33,219.1,221.5,N/A,N/A,48,42,42,42,N/A,N/A,N/A,N/A,N/A,180,N/A,110,16,N/A,N/A,N/A,256,N/A,264,10,,285,3,30.5,39.2,34.1,N/A,N/A,210,200,200,200,200,23.11,22.42,22.42,22.42,22.42
10,250,470,400,36,12,33,273,276.5,N/A,N/A,55,46,46,46,N/A,N/A,N/A,N/A,N/A,220,N/A,125,18,N/A,N/A,N/A,316,N/A,320,12,,345,3,42.1,56.7,48.3,N/A,N/A,230,210,210,210,210,24.49,23.11,23.11,23.11,23.11
12,300,530,460,36,16,33,323.9,327.5,N/A,N/A,65,52,52,52,N/A,N/A,N/A,N/A,N/A,270,N/A,140,18,N/A,N/A,N/A,372,N/A,378,12,,410,4,59.1,81.2,67.5,N/A,N/A,250,220,220,220,220,34.49,31.72,31.72,31.72,31.72
14,350,600,525,39,16,36,355.6,359.5,N/A,N/A,72,56,56,56,N/A,N/A,N/A,N/A,N/A,310,N/A,150,20,N/A,N/A,N/A,420,N/A,434,12,,465,4,88.7,113,97.8,N/A,N/A,270,240,240,240,240,45.95,42.56,42.56,42.56,42.56
16,400,670,585,42,16,39,406.4,411,N/A,N/A,80,60,60,60,N/A,N/A,N/A,N/A,N/A,360,N/A,160,20,N/A,N/A,N/A,475,N/A,490,12,,535,4,121,152,129,N/A,N/A,300,260,260,260,260,60.11,54.75,54.75,54.75,54.75
