23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,bld thk,wn wt,bld wt,M bolt dia,ID,WALTHK,SB Wt Kg,holes,dia
26,650,865,87.4,737,803.3,32,1+1/4,1+3/8,265,702,2,665.2,143,87.4,181,411,33,641.35,9.525,56,holes,dia
28,700,920,87.4,787,857.2,36,1+1/4,1+3/8,265,756,2,716,148,87.4,204,464,33,692.15,9.525,80.71,holes,dia
30,750,990,92.1,845,920.8,36,1+3/8,1+1/2,285,813,2,768.4,156,92.1,249,566,36,742.95,9.525,105.94,holes,dia
32,800,1055,101.6,902,977.9,32,1+1/2,1+5/8,305,864,2,819.2,167,101.6,310,705,39,793.75,9.525,122.91,holes,dia
34,850,1110,101.6,953,1031.9,36,1+1/2,1+5/8,305,918,2,870,171,101.6,340,779,39,844.55,9.525,138.27,holes,dia
36,900,1170,101.6,1010,1089,32,1+5/8,1+3/4,320,965,2,920.8,179,101.6,381,871,42,895.35,9.525,150.27,holes,dia
38,950,1220,109.6,1060,1139.8,36,1+5/8,1+3/4,330,1016,2,971.6,191,109.6,415,1023,42,946.15,9.525,174.38,holes,dia
40,1000,1275,114.3,1114,1190.6,40,1+5/8,1+3/4,345,1067,2,1022.4,197,114.3,449,1156,42,996.95,9.525,197.68,holes,dia
42,1050,1335,117.5,1168,1244.6,36,1+3/4,1+7/8,355,1118,2,1074.7,203,117.5,514,1304,45,1047.75,9.525,216.68,holes,dia
44,1100,1385,125.5,1219,1295.4,40,1+3/4,1+7/8,370,1173,2,1125.5,213,125.5,560,1498,45,1098.55,9.525,247.6,holes,dia
46,1150,1460,127,1270,1365.2,36,1+7/8,2,380,1229,2,1176.3,221,128.6,666,1708,48,1149.35,9.525,267.04,holes,dia
48,1200,1510,127,1327,1416,40,1+7/8,2,385,1278,2,1227.1,222,133.4,714,1897,48,1200.15,9.525,296.72,holes,dia
50,1250,1560,136.6,1378,1466.8,44,1+7/8,2,400,1330,2,1277.9,233,138.2,775,2099,48,1250.95,9.525,334.92,holes,dia
52,1300,1615,141.3,1429,1517.6,48,1+7/8,2,405,1383,2,1328.7,241,142.6,834,2311,48,1301.75,9.525,371.56,holes,dia
54,1350,1675,135,1480,1578,48,1+7/8,2,405,1435,2,1379.5,238,147.7,898,2575,48,1352.55,9.525,365.37,holes,dia
56,1400,1765,152.4,1537,1651,36,2+1/4,2+3/8,450,1494,2,1430.3,267,155.4,1177,3012,56,1403.35,9.525,413.74,holes,dia
58,1450,1825,152.4,1594,1712.9,40,2+1/4,2+3/8,455,1548,2,1481.1,273,160.4,1256,3332,56,1454.15,9.525,459.72,holes,dia
60,1500,1880,149.3,1651,1763.7,40,2+1/4,2+3/8,455,1599,2,1557.3,270,165.1,1301,3619,56,1504.95,9.525,456.24,holes,dia
