23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,bld thk,wn wt,bld wt,M bolt dia,id,wlthk,sb wt kg,holes,dia
26,650,33.5,3.5,28,30.75,28,1+3/8,1+1/2,12.25,27.12,0.25,26,5.88,3.5,223,477.05,36,635,12.7,68,holes,dia
28,700,36,3.75,30,33,24,1+1/2,1+5/8,13,29.12,0.25,28,6.25,3.75,252.95,555.66,39,685.8,12.7,73,holes,dia
30,750,38.25,4,32.25,35.25,28,1+1/2,1+5/8,13.25,31.25,0.25,30,6.69,4,320.45,692.63,39,736.6,12.7,87,holes,dia
32,800,40.75,4.25,34.38,37.5,28,1+5/8,1+3/4,14.5,33.25,0.25,32,7.06,4.25,381.45,843.46,42,787.4,12.7,110,holes,dia
34,850,42.75,4.38,36.5,39.5,32,1+5/8,1+3/4,14.75,35.38,0.25,34,7.38,4.38,451.4,990.91,42,838.2,12.7,127,holes,dia
36,900,45.5,4.69,38.62,42,28,1+3/4,1+7/8,15.75,37.5,0.25,36,7.88,4.69,496.95,1120.51,45,889,12.7,138,holes,dia
