23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,bld thk,wn wt,bld wt,M blt size,id,wallthk,sb wt kg,holes,dia
26,650,35,4.38,28.62,31.75,28,1+5/8,1+3/4,13.5,27.5,0.25,26,7.12,4.38,249,541,42,635,12.7,99,holes,dia
28,700,37.5,4.56,30.88,34,28,1+3/4,1+7/8,14.25,29.62,0.25,28,7.5,4.56,294,647,45,685.8,12.7,166.96,holes,dia
30,750,40.25,4.94,33.12,36.5,28,1+7/8,2,15.25,31.75,0.25,30,8.06,5,367,817,48,736.6,12.7,204.09,holes,dia
32,800,42.75,5.12,35.25,38.75,28,2,2+1/8,16,33.88,0.25,32,8.5,5.31,430,979,52,787.4,12.7,252.64,holes,dia
34,850,45.75,5.56,37.5,41.5,24,2+1/4,2+3/8,17.25,36,0.25,34,9.19,5.68,546,1199,56,838.2,12.7,265.34,holes,dia
36,900,47.75,5.75,39.75,43.5,28,2+1/4,2+3/8,17.75,38.12,0.25,36,9.56,5.94,607,1366,56,889,12.7,314.46,holes,dia
38,950,50,6,41.5,45.75,28,2+1/4,2+3/8,18.25,40.25,0.25,38,10,6.12,666,1544,56,,,326.7,holes,dia
40,1000,52,6.25,43.75,47.75,32,2+1/4,2+3/8,18.75,42.25,0.25,40,10.38,6.38,739,1740,56,,,381.75,holes,dia
42,1050,55.25,6.62,46,50.5,28,2+1/2,2+5/8,19.75,44.38,0.25,42,11,6.75,920,2079,64,,,460.88,holes,dia
44,1100,57.25,6.81,48.25,52.5,32,2+1/2,2+5/8,20.25,46.5,0.25,44,11.38,7,979,2315,64,,,534.08,holes,dia
46,1150,59.5,7.06,50.25,54.75,32,2+1/2,2+5/8,20.75,48.62,0.25,46,11.81,7.31,1093,2611,64,,,544.96,holes,dia
48,1200,62.75,7.44,52.5,57.5,32,2+3/4,2+7/8,22.25,50.75,0.25,48,12.44,7.69,1295,3055,72,,,761.27,holes,dia
50,1250,65.75,7.75,54.5,60,28,3,3+1/8,23.25,52.88,0.25,50,12.94,8,1510,3490,76,,,780.92,holes,dia
52,1300,67.75,8,56.5,62,32,3,3+1/8,23.75,54.88,0.25,52,13.25,8.25,1614,3821,76,,,908.48,holes,dia
54,1400,70,8.25,58.75,64.25,32,3,3+1/8,24.25,57,0.25,54,13.75,8.56,1778,4233,76,,,924.79,holes,dia
56,1450,73,8.56,60.75,66.75,32,3+1/4,3+3/8,25.5,59.12,0.25,56,14.25,8.88,1941,4775,80,,,1045.11,holes,dia
58,1500,75,8.75,63,68.75,32,3+1/4,3+3/8,26,61.12,0.25,58,14.56,9.12,2104,5177,80,,,1056.64,holes,dia
60,1550,78.5,9.19,65.25,71.75,28,3+1/2,3+5/8,27.25,63.38,0.25,60,15.31,9.56,2267,5945,90,,,1279.6,holes,dia
