23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,Blind Thick c2,wn kg,so kg,M bolt size,id,wallthk,sb wt kg,holes,dia
26,650,40.25,5.31,30,35.5,20,2+1/2,2+5/8,17.75,29.25,0.25,26,10.19,6.06,476,990,64,635,12.7,225,holes,dia
28,700,43.5,5.81,32.25,38.25,20,2+3/4,2+7/8,19.5,31.38,0.25,28,10.88,6.56,689,1252,72,685.8,12.7,419.9,holes,dia
30,750,46.5,6.12,34.5,40.75,20,3,3+1/8,20.5,33.5,0.25,30,11.38,6.93,825,1512,76,736.6,12.7,497.59,holes,dia
32,800,48.75,6.31,36.5,43,20,3,3+1/8,21,35.75,0.25,32,11.94,7.31,936,1753,76,787.4,12.7,504.2,holes,dia
34,850,51.75,6.75,39,45.5,20,3+1/4,3+3/8,22.5,37.88,0.25,34,12.56,7.68,1111,2075,80,838.2,12.7,577.4,holes,dia
36,900,53,6.81,40.5,47.25,24,3,3+1/8,22.25,40,0.25,36,12.81,7.94,1143,2251,76,889,12.7,625.2,holes,dia
38,950,57.5,7.5,43.25,50.75,20,3+1/2,3+5/8,24.5,42.25,0.25,38,13.88,8.5,1535,2836,90,,,863.4,holes,dia
40,1000,59.5,7.75,45.75,52.75,24,3+1/2,3+5/8,25,44.38,0.25,40,14.31,8.81,1642,3147,90,,,1052.63,holes,dia
42,1050,61.5,8.12,47.75,54.75,24,3+1/2,3+5/8,25.75,46.31,0.25,42,14.62,9.12,1796,3481,90,,,1074.72,holes,dia
44,1100,64.88,8.44,50,57.62,24,3+3/4,3+7/8,27,48.62,0.25,44,15.38,9.56,1950,4061,95,,,1245.83,holes,dia
46,1150,68.25,8.88,52.5,60.5,24,4,4+1/8,28.5,50.88,0.25,46,16.18,10.06,2104,4729,100,,,1489.14,holes,dia
48,1200,70.25,9.19,54.5,62.5,24,4,4+1/8,29,52.88,0.25,48,16.5,10.38,2258,5170,100,,,1510.03,holes,dia
