23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,bld thk,wn wt,bld wt,M blt size,id,wallthk,sb wt kg,holes,dia
26,650,890,111.2,727,806.4,28,1+5/8,1+3/4,345,698,7,660.4,181,111.3,249,541,42,635,12.7,99,holes,dia
28,700,950,115.9,784,863.6,28,1+3/4,1+7/8,360,752,7,711.2,190,115.9,294,647,45,685.8,12.7,166.96,holes,dia
30,750,1020,125.5,841,927.1,28,1+7/8,2,385,806,7,762,205,127,367,817,48,736.6,12.7,204.09,holes,dia
32,800,1085,130.2,895,984.2,28,2,2+1/8,405,860,7,812.8,216,134.9,430,979,52,787.4,12.7,252.64,holes,dia
34,850,1160,141.3,953,1054.1,24,2+1/4,2+3/8,440,914,7,863.6,233,144.2,546,1199,56,838.2,12.7,265.34,holes,dia
36,900,1215,146.1,1010,1104.9,28,2+1/4,2+3/8,450,968,7,914.4,243,150.9,607,1366,56,889,12.7,314.46,holes,dia
38,950,1270,152.4,1054,1162,28,2+1/4,2+3/8,465,1022,7,965.2,254,155,666,1544,56,,,326.7,holes,dia
40,1000,1320,158.8,1111,1212.8,32,2+1/4,2+3/8,475,1073,7,1016,264,162,739,1740,56,,,381.75,holes,dia
42,1050,1405,168.3,1168,1282.7,28,2+1/2,2+5/8,500,1127,7,1066.8,279,171.5,920,2079,64,,,460.88,holes,dia
44,1100,1455,173.1,1226,1333.5,32,2+1/2,2+5/8,515,1181,7,1117.6,289,177.8,979,2315,64,,,534.08,holes,dia
46,1150,1510,179.4,1276,1390.6,32,2+1/2,2+5/8,525,1235,7,1168.4,300,185.8,1093,2611,64,,,544.96,holes,dia
48,1200,1595,189,1334,1460.5,32,2+3/4,2+7/8,565,1289,7,1219.2,316,195.3,1295,3055,72,,,761.27,holes,dia
50,1250,1670,196.9,1384,1524,28,3,3+1/8,590,1343,7,1270,329,203.2,1510,3490,76,,,780.92,holes,dia
52,1300,1720,203.2,1435,1574.8,32,3,3+1/8,605,1394,7,1320.8,337,209.6,1614,3821,76,,,908.48,holes,dia
54,1400,1780,209.6,1492,1632,32,3,3+1/8,615,1448,7,1371.6,349,217.5,1778,4233,76,,,924.79,holes,dia
56,1450,1855,217.5,1543,1695.4,32,3+1/4,3+3/8,650,1502,7,1422.4,362,225.5,1941,4775,80,,,1045.11,holes,dia
58,1500,1905,222.3,1600,1746.2,32,3+1/4,3+3/8,660,1553,7,1473.2,370,231.8,2104,5177,80,,,1056.64,holes,dia
60,1550,1995,233.4,1657,1822.4,28,3+1/2,3+5/8,690,1610,7,1524,389,242.9,2267,5945,90,,,1279.6,holes,dia
