23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,bld thk,wn wt,bld wt,M bolt dia,ID,WALTHK,SB Wt Kg,holes,dia
26,650,34.12,3.44,29,31.62,32,1+1/4,1+3/8,10.5,27.62,0.06,26.19,5.63,3.44,181,411,33,641.35,9.525,56,holes,dia
28,700,36.25,3.44,31,33.75,36,1+1/4,1+3/8,10.5,29.75,0.06,28.19,5.81,3.44,204,464,33,692.15,9.525,80.71,holes,dia
30,750,39,3.63,33.25,36.25,36,1+3/8,1+1/2,11.25,32,0.06,30.25,6.16,3.63,249,566,36,742.95,9.525,105.94,holes,dia
32,800,41.5,4,35.5,38.5,32,1+1/2,1+5/8,12,34,0.06,32.25,6.56,4,310,705,39,793.75,9.525,122.91,holes,dia
34,850,43.62,4,37.5,40.62,36,1+1/2,1+5/8,12,36.12,0.06,34.25,6.75,4,340,779,39,844.55,9.525,138.27,holes,dia
36,900,46.12,4,39.75,42.88,32,1+5/8,1+3/4,12.5,38,0.06,36.25,7.06,4,381,871,42,895.35,9.525,150.27,holes,dia
38,950,48.12,4.31,41.75,44.88,36,1+5/8,1+3/4,13,40,0.06,38.25,7.5,4.31,415,1023,42,946.15,9.525,174.38,holes,dia
40,1000,50.12,4.5,43.88,46.88,40,1+5/8,1+3/4,13.5,42,0.06,40.25,7.75,4.5,449,1156,42,996.95,9.525,197.68,holes,dia
42,1050,52.5,4.63,46,49,36,1+3/4,1+7/8,14,44,0.06,42.31,8,4.63,514,1304,45,1047.75,9.525,216.68,holes,dia
44,1100,54.5,4.94,48,51,40,1+3/4,1+7/8,14.5,46.19,0.06,44.31,8.38,4.94,560,1498,45,1098.55,9.525,247.6,holes,dia
46,1150,57.5,5,50,53.75,36,1+7/8,2,15,48.38,0.06,46.31,8.69,5.06,666,1708,48,1149.35,9.525,267.04,holes,dia
48,1200,59.5,5,52.25,55.75,40,1+7/8,2,15.25,50.31,0.06,48.31,8.75,5.25,714,1897,48,1200.15,9.525,296.72,holes,dia
50,1250,61.5,5.38,54.25,57.75,44,1+7/8,2,15.75,52.38,0.06,50.31,9.19,5.44,775,2099,48,1250.95,9.525,334.92,holes,dia
52,1300,63.5,5.56,56.25,59.75,48,1+7/8,2,16,54.44,0.06,52.31,9.5,5.61,834,2311,48,1301.75,9.525,371.56,holes,dia
54,1350,65.88,5.32,58.25,62.12,48,1+7/8,2,16,56.5,0.06,54.31,9.38,5.81,898,2575,48,1352.55,9.525,365.37,holes,dia
56,1400,69.5,6,60.5,65,36,2+1/4,2+3/8,17.75,58.81,0.06,56.31,10.5,6.12,1177,3012,56,1403.35,9.525,413.74,holes,dia
58,1450,71.94,6,62.75,67.44,40,2+1/4,2+3/8,18,60.94,0.06,58.31,10.75,6.31,1256,3332,56,1454.15,9.525,459.72,holes,dia
60,1500,73.94,5.88,65,69.44,40,2+1/4,2+3/8,18,62.94,0.06,60.31,10.63,6.5,1301,3619,56,1504.95,9.525,456.24,holes,dia
