23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,bld thk,wn wt,bld wt,M bolt dia,id,wlthk,sb wt kg,holes,dia
26,650,850,88.9,711,781,28,1+3/8,1+1/2,310,689,7,660.4,149,88.9,223,477.05,36,635,12.7,68,holes,dia
28,700,915,95.3,762,838.2,24,1+1/2,1+5/8,330,740,7,711.2,159,95.3,252.95,555.66,39,685.8,12.7,73,holes,dia
30,750,970,101.6,819,895.4,28,1+1/2,1+5/8,335,794,7,762,170,101.6,320.45,692.63,39,736.6,12.7,87,holes,dia
32,800,1035,108,873,952.5,28,1+5/8,1+3/4,365,845,7,812.8,179,108,381.45,843.46,42,787.4,12.7,110,holes,dia
34,850,1085,111.2,927,1003.3,32,1+5/8,1+3/4,370,899,7,863.6,187,111.2,451.4,990.91,42,838.2,12.7,127,holes,dia
36,900,1155,119.1,981,1066.8,28,1+3/4,1+7/8,400,952,7,914.4,200,119.1,496.95,1120.51,45,889,12.7,138,holes,dia
