2,50,1+1/2,40,60.3,48.3,165,3.9,5.5,8.7,11.1,3.7,5.1,7.1,10.2,1.04,1.32,1.79,2.17,6
2+1/2,65,0+1/8,6,73,10.3,178,5.2,7,9.5,14,1.7,2.4,N/A,N/A,0,0,0,0,31.35
2+1/2,65,0+1/4,8,73,13.7,178,5.2,7,9.5,14,2.2,3,N/A,N/A,0,0,0,0,29.65
2+1/2,65,0+3/8,10,73,17.1,178,5.2,7,9.5,14,2.3,3.2,N/A,N/A,0,0,0,0,27.95
2+1/2,65,0+1/2,15,73,21.3,178,5.2,7,9.5,14,2.8,3.7,4.8,7.5,0,0,0,0,25.85
2+1/2,65,0+3/4,20,73,26.7,178,5.2,7,9.5,14,2.9,3.9,5.6,7.8,1.8,2.15,2.59,3.25,23.15
2+1/2,65,1,25,73,33.4,178,5.2,7,9.5,14,3.4,4.5,6.4,9.1,1.78,2.14,2.59,3.27,19.8
2+1/2,65,1+1/4,32,73,42.2,178,5.2,7,9.5,14,3.6,4.9,6.4,9.7,1.72,2.1,2.56,3.3,15.4
2+1/2,65,1+1/2,40,73,48.3,178,5.2,7,9.5,14,3.7,5.1,7.1,10.2,1.67,2.07,2.57,3.32,12.35
2+1/2,65,2,50,73,60.3,178,5.2,7,9.5,14,3.9,5.5,8.7,11.1,1.56,1.99,2.62,3.36,6.35
3,80,0+1/8,6,88.9,10.3,203,5.5,7.6,11.1,15.2,1.7,2.4,3.2,4.8,0,0,0,0,39.3
3,80,0+1/4,8,88.9,13.7,203,5.5,7.6,11.1,15.2,2.2,3,3.7,6.1,0,0,0,0,37.6
3,80,0+3/8,10,88.9,17.1,203,5.5,7.6,11.1,15.2,2.3,3.2,4,6.4,0,0,0,0,35.9
3,80,0+1/2,15,88.9,21.3,203,5.5,7.6,11.1,15.2,2.8,3.7,4.8,7.5,0,0,0,0,33.8
3,80,0+3/4,20,88.9,26.7,203,5.5,7.6,11.1,15.2,2.9,3.9,5.6,7.8,0,0,0,0,31.1
3,80,1,25,88.9,33.4,203,5.5,7.6,11.1,15.2,3.4,4.5,6.4,9.1,3.11,3.63,4.41,5.24,27.75
3,80,1+1/4,32,88.9,42.2,203,5.5,7.6,11.1,15.2,3.6,4.9,6.4,9.7,3.01,3.56,4.35,5.25,23.35
3,80,1+1/2,40,88.9,48.3,203,5.5,7.6,11.1,15.2,3.7,5.1,7.1,10.2,2.93,3.5,4.34,5.26,20.3
3,80,2,50,88.9,60.3,203,5.5,7.6,11.1,15.2,3.9,5.5,8.7,11.1,2.73,3.36,4.35,5.26,14.3
3,80,2+1/2,65,88.9,73,203,5.5,7.6,11.1,15.2,5.2,7,9.5,14,2.62,3.31,4.29,5.48,7.95
3+1/2,90,0+1/8,6,101.6,10.3,203,5.7,8.1,N/A,N/A,1.7,2.4,N/A,N/A,0,0,0,0,45.65
