2,50,1+1/4,32,2.375,1.66,6.5,0.153,0.216,0.342,0.437,0.141,0.192,0.251,0.381,2.44,3.03,3.95,4.77,0.35
2,50,1+1/2,40,2.375,1.9,6.5,0.153,0.216,0.342,0.437,0.145,0.2,0.279,0.401,2.3,2.93,3.96,4.8,0.23
2+1/2,65,0+1/8,6,2.875,0.405,7,0.204,0.275,0.374,0.551,0.066,0.094,N/A,N/A,0,0,0,0,1.23
2+1/2,65,0+1/4,8,2.875,0.54,7,0.204,0.275,0.374,0.551,0.086,0.118,N/A,N/A,0,0,0,0,1.16
2+1/2,65,0+3/8,10,2.875,0.675,7,0.204,0.275,0.374,0.551,0.09,0.125,N/A,N/A,0,0,0,0,1.1
2+1/2,65,0+1/2,15,2.875,0.84,7,0.204,0.275,0.374,0.551,0.11,0.145,0.188,0.295,0,0,0,0,1.01
2+1/2,65,0+3/4,20,2.875,1.05,7,0.204,0.275,0.374,0.551,0.114,0.153,0.22,0.307,3.98,4.75,5.71,7.17,0.91
2+1/2,65,1,25,2.875,1.315,7,0.204,0.275,0.374,0.551,0.133,0.177,0.251,0.358,3.93,4.72,5.72,7.23,0.78
2+1/2,65,1+1/4,32,2.875,1.66,7,0.204,0.275,0.374,0.551,0.141,0.192,0.251,0.381,3.81,4.64,5.66,7.29,0.6
2+1/2,65,1+1/2,40,2.875,1.9,7,0.204,0.275,0.374,0.551,0.145,0.2,0.279,0.401,3.7,4.57,5.68,7.33,0.48
2+1/2,65,2,50,2.875,2.375,7,0.204,0.275,0.374,0.551,0.153,0.216,0.342,0.437,3.44,4.4,5.78,7.42,0.25
3,80,0+1/8,6,3.5,0.405,8,0.216,0.299,0.437,0.598,0.066,0.094,0.125,0.188,0,0,0,0,1.54
3,80,0+1/4,8,3.5,0.54,8,0.216,0.299,0.437,0.598,0.086,0.118,0.145,0.24,0,0,0,0,1.48
3,80,0+3/8,10,3.5,0.675,8,0.216,0.299,0.437,0.598,0.09,0.125,0.157,0.251,0,0,0,0,1.41
3,80,0+1/2,15,3.5,0.84,8,0.216,0.299,0.437,0.598,0.11,0.145,0.188,0.295,0,0,0,0,1.33
3,80,0+3/4,20,3.5,1.05,8,0.216,0.299,0.437,0.598,0.114,0.153,0.22,0.307,0,0,0,0,1.22
3,80,1,25,3.5,1.315,8,0.216,0.299,0.437,0.598,0.133,0.177,0.251,0.358,6.86,8.01,9.74,11.57,1.09
3,80,1+1/4,32,3.5,1.66,8,0.216,0.299,0.437,0.598,0.141,0.192,0.251,0.381,6.65,7.86,9.61,11.59,0.92
3,80,1+1/2,40,3.5,1.9,8,0.216,0.299,0.437,0.598,0.145,0.2,0.279,0.401,6.47,7.73,9.59,11.6,0.8
3,80,2,50,3.5,2.375,8,0.216,0.299,0.437,0.598,0.153,0.216,0.342,0.437,6.03,7.41,9.6,11.61,0.56
3,80,2+1/2,65,3.5,2.875,8,0.216,0.299,0.437,0.598,0.204,0.275,0.374,0.551,5.78,7.3,9.46,12.09,0.31
3+1/2,90,0+1/8,6,4,0.405,8,0.224,0.318,#VALUE!,#VALUE!,0.066,0.094,N/A,N/A,0,0,0,0,1.79
3+1/2,90,0+1/4,8,4,0.54,8,0.224,0.318,#VALUE!,#VALUE!,0.086,0.118,N/A,N/A,0,0,0,0,1.73
3+1/2,90,0+3/8,10,4,0.675,8,0.224,0.318,#VALUE!,#VALUE!,0.09,0.125,N/A,N/A,0,0,0,0,1.66
3+1/2,90,0+1/2,15,4,0.84,8,0.224,0.318,#VALUE!,#VALUE!,0.11,0.145,0.188,0.295,0,0,0,0,1.58
3+1/2,90,0+3/4,20,4,1.05,8,0.224,0.318,#VALUE!,#VALUE!,0.114,0.153,0.22,0.307,0,0,0,0,1.47
3+1/2,90,1,25,4,1.315,8,0.224,0.318,#VALUE!,#VALUE!,0.133,0.177,0.251,0.358,0,0,0,0,1.34
3+1/2,90,1+1/4,32,4,1.66,8,0.224,0.318,#VALUE!,#VALUE!,0.141,0.192,0.251,0.381,0,0,0,0,1.17
3+1/2,90,1+1/2,40,4,1.9,8,0.224,0.318,#VALUE!,#VALUE!,0.145,0.2,0.279,0.401,8.36,9.19,,14.6,1.05
3+1/2,90,2,50,4,2.375,8,0.224,0.318,#VALUE!,#VALUE!,0.153,0.216,0.342,0.437,7.9,9.56,,14.54,0.81
3+1/2,90,2+1/2,65,4,2.875,8,0.224,0.318,#VALUE!,#VALUE!,0.204,0.275,0.374,0.551,5.59,9.38,,14.92,0.56
3+1/2,90,3,80,4,3.5,8,0.224,0.318,#VALUE!,#VALUE!,0.216,0.299,0.437,0.598,6.79,8.81,,15.03,0.25
4,100,0+1/4,8,4.5,0.54,9,0.236,0.338,0.531,0.673,0.086,0.118,N/A,N/A,0,0,0,0,1.98
4,100,0+3/8,10,4.5,0.675,9,0.236,0.338,0.531,0.673,0.09,0.125,N/A,N/A,0,0,0,0,1.91
4,100,0+1/2,15,4.5,0.84,9,0.236,0.338,0.531,0.673,0.11,0.145,0.188,0.295,0,0,0,0,1.83
4,100,0+3/4,20,4.5,1.05,9,0.236,0.338,0.531,0.673,0.114,0.153,0.22,0.307,0,0,0,0,1.72
4,100,1,25,4.5,1.315,9,0.236,0.338,0.531,0.673,0.133,0.177,0.251,0.358,0,0,0,0,1.59
4,100,1+1/4,32,4.5,1.66,9,0.236,0.338,0.531,0.673,0.141,0.192,0.251,0.381,0,0,0,0,1.42
4,100,1+1/2,40,4.5,1.9,9,0.236,0.338,0.531,0.673,0.145,0.2,0.279,0.401,14.42,16.38,19.75,22.23,1.3
4,100,2,50,4.5,2.375,9,0.236,0.338,0.531,0.673,0.153,0.216,0.342,0.437,13.56,15.66,19.4,21.88,1.06
4,100,2+1/2,65,4.5,2.875,9,0.236,0.338,0.531,0.673,0.204,0.275,0.374,0.551,12.8,15.06,18.75,21.96,0.81
