43,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
nb   API6b 5000psi,MET nb,MAX Bore,OD,OD Tolerance,Mac Chamber,Dia of Raised Face-min,Total Thickness,Basic Thickness,X Dia of Hub,PCD,No of Bolts,unc size,Hole Dia,Hole Toler,bolt length inch based,Ring No,Hub Length threaded pipe,Hub Length threaded casing,Hub Length Tubing,Hub Length WN(sensor),WN Diam,Tol +,Max Bore WN,spare,RF Height,gap / type R,Gap Type RX,Ring Width(ref),Grove Width R,Grove Depth R,Groove Dia,metric bolt dia,bolt length inch based,spare,spare,spare,WN wtkg,Thd wtkg,Blind wtkg,sb wt,Grove Width RX,Grove Depth RX
2+1/16,52,2.09,8.5,0.06,0.12,4.88,1.81,1.5,4.12,6.5,8,0+7/8,1,0.06,6.5,R24 or RX24,2.56,N/A,2.56,4.31,2.38,0.09,1.72,N/A,N/A,0.19,0.47,,R24 = 0.469,R24 = 0.31,3.75,22,6.5,N/A,N/A,N/A,12.27,11.83,11.68,4.05,RX24 = 0.469,RX24 = 0.31
2+9/16,65,2.59,9.62,0.06,0.12,5.38,1.94,1.62,4.88,7.5,8,1,1.12,0.06,7,R27 or RX27,2.81,N/A,2.81,4.44,2.88,0.09,2.16,N/A,N/A,0.19,0.47,,R27 = 0.469,R27 = 0.31,4.25,24,7,N/A,N/A,N/A,16.73,16.24,16.05,6.12,RX27 = 0.469,RX27 = 0.31
3+1/8,78,3.22,10.5,0.06,0.12,6.62,2.19,1.88,5.25,8,8,1+1/8,1.25,0.06,7.75,R35 or RX35,3.19,N/A,3.19,4.94,3.5,0.09,2.65,N/A,N/A,0.19,0.47,,R35 = 0.469,R35 = 0.31,5.375,30,7.75,N/A,N/A,N/A,22.42,20.9,21.45,11.43,RX35 = 0.469,RX35 = 0.31
4+1/16,103,4.28,12.25,0.06,0.12,7.62,2.44,2.12,6.38,9.5,8,1+1/4,1.38,0.06,8.5,R39 or RX39,3.88,3.88,3.88,5.19,4.5,0.09,3.47,N/A,N/A,0.19,0.47,,R39 = 0.469,R39 = 0.31,6.375,33,8.5,N/A,N/A,N/A,34.1,31.71,32.97,15.17,RX39 = 0.469,RX39 = 0.31
5+1/8,130,5.16,14.75,0.06,0.12,9,3.19,2.88,7.75,11.5,8,1+1/2,1.62,0.06,10.5,R44 or RX44,4.44,4.44,N/A,6.44,5.56,0.09,4.34,N/A,N/A,0.19,0.47,,R44 = 0.469,R44 = 0.31,7.625,39,10.5,N/A,N/A,N/A,64.02,58.56,62.86,27.03,RX44 = 0.469,RX44 = 0.31
7+1/16,178,7.16,15.5,0.12,0.25,9.75,3.62,3.25,9,12.5,12,1+3/8,1.5,0.06,11.25,R46 or RX46,5.06,5.06,N/A,7.13,6.63,0.16,5.22,N/A,N/A,0.19,0.47,,R46 = 0.531,R46 = 0.38,8.313,36,11.25,N/A,N/A,N/A,78.47,63.23,77.56,34.46,RX46 = 0.531,RX46 = 0.38
9,228,9.03,19,0.12,0.25,12.5,4.06,3.62,11.5,15.5,12,1+5/8,1.75,0.09,12.5,R50 or RX50,6.06,6.06,N/A,8.81,8.63,0.16,6.84,N/A,N/A,0.16,0.47,,R50 = 0.656,R50 = 0.44,10.625,42,12.5,N/A,N/A,N/A,137.64,109.09,132.17,55.16,RX50 = 0.656,RX50 = 0.44
11,279,11.03,23,0.12,0.25,14.63,4.69,4.25,14.5,19,12,1+7/8,2,0.09,14.25,R54 or RX54,6.69,6.69,N/A,10.44,10.75,0.16,8.53,N/A,N/A,0.16,0.47,,R54 = 0.656,R54 = 0.44,12.75,48,14.25,N/A,N/A,N/A,238.18,186.76,226.23,83.59,RX54 = 0.656,RX54 = 0.44
