43,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
nb   API6b 3000psi,MET nb,MAX Bore,OD,OD Tolerance,Mac Chamber,Dia of Raised Face-min,Total Thickness,Basic Thickness,X Dia of Hub,PCD,No of Bolts,unc size,Hole Dia,Hole Toler,bolt length inch based,Ring No,Hub Length threaded pipe,Hub Length threaded casing,Hub Length Tubing,Hub Length WN(sensor),WN Diam,Tol +,Max Bore WN,spare,RF Height,gap / type R,Gap Type RX,Ring Width(ref),Grove Width R,Grove Depth R,Groove Dia,metric bolt dia,bolt length mm based,spare,spare,spare,WN wtkg,Thd wtkg,Blind wtkg,sb wt,Grove Width RX,Grove Depth RX
2+1/16,52,2.09,8.5,0.06,0.12,4.88,1.81,1.5,4.12,6.5,8,0+7/8,1,0.06,6.5,R24 or RX24,2.56,N/A,2.56,4.31,2.38,0.09,1.97,N/A,N/A,0.19,0.47,,R24 = 0.469,R24 = 0.31,3.75,22,6.5,N/A,N/A,N/A,11.87,11.83,11.68,4.05,RX24 = 0.469,RX24 = 0.31
2+9/16,65,2.59,9.62,0.06,0.12,5.38,1.94,1.62,4.88,7.5,8,1,1.12,0.06,7,R27 or RX27,2.81,N/A,2.81,4.44,2.88,0.09,2.35,N/A,N/A,0.19,0.47,,R27 = 0.469,R27 = 0.31,4.25,24,7,N/A,N/A,N/A,16.35,16.24,16.05,6.12,RX27 = 0.469,RX27 = 0.31
3+1/8,78,3.22,9.5,0.06,0.12,6.12,1.81,1.5,5,7.5,8,0+7/8,1,0.06,6.5,R31 or RX31,2.44,N/A,2.94,4.31,3.5,0.09,2.93,N/A,N/A,0.19,0.47,,R31 = 0.469,R31 = 0.31,4.875,22,6.5,N/A,N/A,N/A,15.28,13.99,14.95,4.59,RX31 = 0.469,RX31 = 0.31
4+1/16,103,4.28,11.5,0.06,0.12,7.12,2.06,1.75,6.35,9.25,8,1+1/8,1.25,0.06,7.5,R37 or RX37,3.06,3.5,3.5,4.81,4.5,0.09,3.86,N/A,N/A,0.19,0.47,,R37 = 0.469,R37 = 0.31,5.875,30,7.5,N/A,N/A,N/A,25.03,23.06,24.78,11.25,RX37 = 0.469,RX37 = 0.31
5+1/8,130,5.16,13.75,0.06,0.12,8.5,2.31,2,7.5,11,8,1+1/4,1.38,0.06,8.25,R41 or RX41,3.44,4,,5.31,5.56,0.09,4.84,N/A,N/A,0.19,0.47,,R41 = 0.469,R41 = 0.31,7.125,33,8.25,N/A,N/A,N/A,40.14,37.51,40.33,14.72,RX41 = 0.469,RX41 = 0.31
7+1/16,178,7.16,15,0.12,0.25,9.5,2.5,2.19,9.25,12.5,12,1+1/8,1.25,0.06,8.5,R45 or RX45,3.69,4.5,,5.81,6.63,0.16,5.79,N/A,N/A,0.19,0.47,,R45 = 0.469,R45 = 0.31,8.313,30,8.5,N/A,N/A,N/A,51.53,42.98,51.73,18,RX45 = 0.469,RX45 = 0.31
9,228,9.03,18.5,0.12,0.25,12.12,2.81,2.5,11.75,15.5,12,1+3/8,1.5,0.06,9.5,R49 or RX49,4.31,5,,6.69,8.63,0.16,7.47,N/A,N/A,0.19,0.47,,R49 = 0.469,R49 = 0.31,10.625,42,9.5,N/A,N/A,N/A,89.78,74.44,88.96,46.29,RX49 = 0.469,RX49 = 0.31
11,279,11.03,21.5,0.12,0.25,14.25,3.06,2.75,14.5,18.5,16,1+3/8,1.5,0.06,10,R53 or RX53,4.56,5.25,,7.56,10.75,0.16,9.34,N/A,N/A,0.19,0.47,,R53 = 0.469,R53 = 0.31,10.75,42,10,N/A,N/A,N/A,133.73,106.91,130.98,63.29,RX53 = 0.469,RX53 = 0.31
13 5/8,346,13.66,24,0.12,0.25,16.5,3.44,3.12,16.5,21,20,1+3/8,1.5,0.06,10.75,R57 or RX57,4.94,4.94,,,0,0,0,,N/A,0.19,0.47,,R57 = 0.469,R57 = 0.31,15,42,10.75,N/A,N/A,N/A,N/A,131.73,183.14,83.07,RX57 = 0.469,RX57 = 0.31
16 3/4,425,16.78,27.75,0.12,0.25,20.62,3.94,3.5,20,24.25,20,1+5/8,1.75,0.09,12.25,R66 or RX66,5.06,5.69,,,0,0,0,,N/A,0.16,0.47,,R66 = 0.656,R66 = 0.44,18.5,42,12.25,N/A,N/A,N/A,N/A,182.14,280.03,90.96,RX66 = 0.656,RX66 = 0.44
20 3/4,527,20.78,33.75,0.12,0.25,25.5,4.75,4.25,24.5,29.5,20,2,2.12,0.09,15,R74 or RX74,6.75,6.75,,,0,0,0,,N/A,0.19,0.72,,R74 = 0.781,R74 = 0.5,23,52,15,N/A,N/A,N/A,N/A,328,500.04,172.75,RX74 = 0.781,RX74 = 0.5
