43,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
nb   API6b 2000psi,MET nb,MAX Bore,OD,OD Tolerance,Mac Chamber,Dia of Raised Face-min,Total Thickness,Basic Thickness,X Dia of Hub,PCD,No of Bolts,unc size,Hole Dia,Hole Toler,bolt length inch,Ring No,Hub Length threaded pipe,Hub Length threaded casing,Hub Length Tubing,Hub Length WN(sensor),WN Diam,Tol,Max Bore WN,spare,RF Height,gap / type R,Gap Type RX,Ring Width(ref),Grove Width Type R,Grove Depth Type R,Groove Dia,metric bolt dia,bolt len in mm,spare,spare,spare,WN wtkg,Thd wtkg,Blind wtkg,sb wt,Grove Width Type RX,Grove Dep Type RX
2+1/16,52,53.2,165,2,3,108,33.4,25.4,84,127,8,0+5/8,20,2,130,R23 or RX23,45,N/A,N/A,81,60.3,2.4,53.3,N/A,N/A,4.8,11.9,11.1125,R23 = 11.91,R23 = 7.9,82.55,16,130,N/A,N/A,N/A,4.97,4.7,4.97,1.55,RX23 = 11.91,RX23 = 7.87
2+9/16,65,65.9,190,2,3,127,36.6,28.6,100,149.2,8,0+3/4,23,2,140,R26 or RX26,50,N/A,N/A,88,73,2.4,63.5,N/A,N/A,4.8,11.9,11.1125,R26 = 11.91,R26 = 7.9,101.6,20,140,N/A,N/A,N/A,7.25,6.71,7.21,3.24,RX26 = 11.91,RX26 = 7.87
3+1/8,78,81.8,210,2,3,146,39.7,31.8,117,168.3,8,0+3/4,23,2,150,R31 or RX31,54,N/A,N/A,91,88.9,2.4,78.7,N/A,N/A,4.8,11.9,11.1125,R31 = 11.91,R31 = 7.9,123.83,20,150,N/A,N/A,N/A,9.52,8.68,9.69,3.4,RX31 = 11.91,RX31 = 7.87
4+1/16,103,108.7,275,2,3,175,46.1,38.1,152,215.9,8,0+7/8,26,2,170,R37 or RX37,62,89,N/A,110,114.3,2.4,103.1,N/A,N/A,4.8,11.9,11.1125,R37 = 11.91,R37 = 7.9,149.23,22,170,N/A,N/A,N/A,19.13,17.31,19.56,4.59,RX37 = 11.91,RX37 = 7.87
5+1/8,130,131,330,2,3,210,52.4,44.5,189,266.7,8,1,29,2,185,R41 or RX41,69,102,N/A,122,141.3,2.4,122.9,N/A,N/A,4.8,11.9,11.1125,R41 = 11.91,R41 = 7.9,180.98,24,185,N/A,N/A,N/A,32.85,29.19,32.89,6.12,RX41 = 11.91,RX41 = 7.87
7+1/16,178,181.8,355,3,6,241,55.6,47.6,222,292.1,12,1,29,2,195,R45 or RX45,75,115,N/A,126,168.3,4,147.1,N/A,N/A,4.8,11.9,11.1125,R45 = 11.91,R45 = 7.9,211.15,24,195,N/A,N/A,N/A,39.16,30.37,39.7,9.55,RX45 = 11.91,RX45 = 7.87
9,228,229.4,420,3,6,302,63.5,55.6,273,349.3,12,1+1/8,32,2,220,R49 or RX49,85,127,N/A,141,219.1,4,199.1,N/A,N/A,4.8,11.9,11.1125,R49 = 11.91,R49 = 7.9,269.88,30,220,N/A,N/A,N/A,59.48,46,63.58,18.28,RX49 = 11.91,RX49 = 7.87
11,279,280.2,510,3,6,356,71.5,63.5,343,431.8,16,1+1/4,35,2,235,R53 or RX53,94,134,N/A,160,273,4,248.4,N/A,N/A,4.8,11.9,11.1125,R53 = 11.91,R53 = 7.9,323.85,33,235,N/A,N/A,N/A,97.35,75.25,104.28,31.72,RX53 = 11.91,RX53 = 7.87
13+5/8,346,346.9,560,3,6,413,74.7,66.7,400,489,20,1+1/4,35,2,245,R57 or RX57,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8,11.9,11.1125,R57 = 11.91,R57 = 7.9,381,33,245,N/A,N/A,N/A,N/A,83.45,132.24,40.81,RX57 = 11.91,RX57 = 7.87
16+3/4,425,426.2,685,3,6,508,84.2,76.2,495,603.2,20,1+1/2,42,2.5,275,R65 or RX65,115,115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8,11.9,11.1125,R65 = 11.91,R65 = 7.9,469.9,39,275,N/A,N/A,N/A,N/A,142.75,224.29,68.44,RX65 = 11.91,RX65 = 7.87
21+1/4,540,540.5,815,3,6,635,98.5,88.9,610,723.9,24,1+5/8,45,2.5,315,R73 or RX73,137,137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.3,15,12.7,R73 =  13.49,R73 = 9.7,584.2,42,315,N/A,N/A,N/A,N/A,214.95,371.89,106.77,RX73 = 13.49,RX73 = 9.65
