40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
nb,nb,od,Ctr to End,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,3,3+1/2,4,5,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,nb
0+1/4,8,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0+1/4
0+3/8,10,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0+3/8
0+1/2,15,21,25.4,25.4,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0+1/2
0+3/4,20,27,28.575,0,28.575,28.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0+3/4
1,25,33,38.1,0,0,38.1,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
1+1/4,32,42,47.625,0,0,47.625,47.625,47.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1+1/4
1+1/2,40,48,57.15,0,0,57.15,57.15,57.15,57.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1+1/2
2,50,60,63.5,0,0,0,44.45,50.8,57.15,60.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
2+1/2,65,73,76.2,0,0,0,0,57.15,63.5,66.675,69.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2+1/2
3,80,89,85.725,0,0,0,0,0,69.85,73.025,76.2,82.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
3+1/2,90,102,95.25,0,0,0,0,0,0,79.375,82.55,88.9,92.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3+1/2
4,100,114,104.775,0,0,0,0,0,0,85.725,88.9,95.25,95.25,102.39375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
5,125,141,123.825,0,0,0,0,0,0,0,104.775,107.95,111.125,114.3,117.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
6,150,168,142.875,0,0,0,0,0,0,0,0,120.65,123.825,127,130.175,136.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6
8,200,219,177.8,0,0,0,0,0,0,0,0,0,0,152.4,155.575,161.925,168.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8
10,250,273,215.9,0,0,0,0,0,0,0,0,0,0,0,184.15,190.5,193.675,203.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10
12,300,324,254,0,0,0,0,0,0,0,0,0,0,0,0,215.9,219.075,228.6,241.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12
14,350,356,279.4,0,0,0,0,0,0,0,0,0,0,0,0,0,238.125,247.65,257.175,269.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14
16,400,406,304.8,0,0,0,0,0,0,0,0,0,0,0,0,0,263.525,273.05,282.575,295.275,304.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
18,450,457,342.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.45,307.975,320.675,330.2,330.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18
20,500,508,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.85,333.375,346.075,355.6,355.6,368.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20
22,550,559,419.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.775,371.475,381,381,393.7,406.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,22
24,600,610,431.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.175,396.875,406.4,406.4,419.1,431.8,431.8,0,0,0,0,0,0,0,0,0,0,0,0,,24
26,650,660,495.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.275,431.8,431.8,444.5,457.2,469.9,482.6,0,0,0,0,0,0,0,0,0,0,0,,26
28,700,711,520.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.675,457.2,457.2,469.9,482.6,495.3,508,520.7,0,0,0,0,0,0,0,0,0,0,,28
30,750,762,558.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.375,473.075,482.6,482.6,495.3,508,520.7,533.4,546.1,546.1,0,0,0,0,0,0,0,0,0,,30
32,800,813,596.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,520.7,533.4,546.1,558.8,571.5,571.5,584.2,0,0,0,0,0,0,0,0,,32
34,850,854,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.4,546.1,558.8,571.5,584.2,596.9,596.9,609.6,622.3,0,0,0,0,0,0,0,,34
36,900,914,673.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.8,572.29375,584.2,596.9,609.6,622.3,622.3,635,647.7,660.4,0,0,0,0,0,0,,36
38,950,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,,38
40,1000,1016,749.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3,635,647.7,660.4,673.1,673.1,698.5,711.2,723.9,736.6,749.3,0,0,0,0,,40
42,1050,1067,711.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,647.7,660.4,660.4,660.4,698.5,698.5,711.2,711.2,711.2,711.2,711.2,711.2,0,0,0,,42
44,1100,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,,44
46,1150,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,46
48,1200,1219,838.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736.6,736.6,762,762,762,787.4,787.4,787.4,812.8,812.8,812.8,838.2,838.2,,48
