5,2,3,4,5
45 deg E L NB,NB,OD,radius,45 ctr to end
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,20.6375,38.1,15.875
0+3/4,20,26.9875,29.36875,11.1125
1,25,33.3375,38.1,22.225
1+1/4,32,42.06875,47.625,25.4
1+1/2,40,47.625,57.15,28.575
2,50,60.325,76.2,34.925
2+1/2,65,73.025,95.25,44.45
3,80,88.9,114.3,50.8
3+1/2,90,102.39375,133.35,57.15
4,100,114.3,151.60625,63.5
5,125,141.2875,189.70625,79.375
6,150,168.275,229.39375,95.25
8,200,219.075,304.8,127
10,250,273.05,381,158.75
12,300,323.85,457.2,190.5
14,350,356.39375,532.60625,222.25
16,400,405.60625,610.39375,254
18,450,457.2,685.8,285.75
20,500,508,762,317.5
22,550,558.8,838.2,342.9
24,600,610.39375,913.60625,381
26,650,600.075,991.39375,406.4
28,700,711.2,1066.8,438.15
30,750,762,1143,469.9
32,800,812.8,1219.2,501.65
34,850,854.075,1294.60625,533.4
36,900,913.60625,1374.775,584.2
38,950,N/A,N/A,N/A
40,1000,1016,1524,631.825
42,1050,1066.8,1600.2,660.4
44,1100,N/A,N/A,N/A
46,1150,N/A,N/A,N/A
48,1200,1219.2,1828.8,758.825
