40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Size,nb,od,1,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,3,3+1/2,4,5,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,Size
0+1/4,8,N/N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0+1/4
0+3/8,10,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0+3/8
0+1/2,15,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0+1/2
0+3/4,20,27,1,,38.1,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0+3/4
1,25,33,1,,0,50.8,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
1+1/4,32,42,1,,0,50.8,50.8,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1+1/4
1+1/2,40,48,1,,0,63.5,63.5,63.5,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1+1/2
2,50,60,1,,0,0,76.2,76.2,76.2,76.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
2+1/2,65,73,1,,0,0,0,88.9,88.9,88.9,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2+1/2
3,80,89,1,,0,0,0,0,88.9,88.9,88.9,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
3+1/2,90,102,1,,0,0,0,0,101.6,101.6,101.6,101.6,101.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3+1/2
4,100,114,1,,0,0,0,0,0,101.6,101.6,101.6,101.6,101.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
5,125,141,1,,0,0,0,0,0,0,127,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
6,150,168,1,,0,0,0,0,0,0,0,139.7,139.7,139.7,139.7,139.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6
8,200,219,1,,0,0,0,0,0,0,0,0,0,152.4,152.4,152.4,152.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8
10,250,273,1,,0,0,0,0,0,0,0,0,0,0,177.8,177.8,177.8,177.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10
12,300,324,1,,0,0,0,0,0,0,0,0,0,0,0,203.2,203.2,203.2,203.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12
14,350,356,1,,0,0,0,0,0,0,0,0,0,0,0,0,330.2,330.2,330.2,330.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14
16,400,406,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,355.6,355.6,355.6,355.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
18,450,457,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,381,381,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18
20,500,508,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,508,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20
22,550,559,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,508,508,0,0,0,0,0,0,0,0,0,0,0,0,0,,22
24,600,610,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,508,508,0,0,0,0,0,0,0,0,0,0,0,0,,24
26,650,660,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.6,609.6,609.6,609.6,0,0,0,0,0,0,0,0,0,0,0,,26
28,700,711,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.6,609.6,609.6,609.6,609.6,0,0,0,0,0,0,0,0,0,0,,28
30,750,762,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.6,609.6,609.6,609.6,609.6,0,0,0,0,0,0,0,0,0,,30
32,800,813,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.6,609.6,609.6,609.6,0,0,0,0,0,0,0,0,,32
34,850,854,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.6,609.6,609.6,609.6,609.6,0,0,0,0,0,0,0,,34
36,900,914,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.6,609.6,609.6,609.6,609.6,609.6,0,0,0,0,0,0,,36
