6,2,3,4,5,6
nb,nb,od,Ctr to E,M,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,21,1,1,0.21
0+3/4,20,27,1.12,1.12,0.32
1,25,33,1.5,1.5,0.48
1+1/4,32,42,1.88,1.88,0.73
1+1/2,40,48,2.25,2.25,1.11
2,50,60,2.5,2.5,1.69
2+1/2,65,73,3,3,2.56
3,80,89,3.38,3.38,3.88
3+1/2,90,102,3.75,3.75,5.88
4,100,114,4.12,4.12,8.91
5,125,141,4.88,4.88,13.5
6,150,168,5.62,5.62,20.46
8,200,219,7,7,31
10,250,273,8.5,8.5,36.77
12,300,324,10,10,61.74
14,350,356,11,11,93
16,400,406,12,12,115
18,450,457,13.5,13.5,181.14
20,500,508,15,15,265
22,550,559,16.5,16.5,355
24,600,610,17,17,443.55
26,650,660,19.5,19.5,N/A
28,700,711,20.5,20.5,526
30,750,762,22,22,604
32,800,813,23.5,23.5,699
34,850,854,25,25,805
36,900,914,26.5,26.5,913
