9,2,3,4,5,6,7,8,9
nb,nb,od,,Over Cap-E,,wt,OverCap-E1,WT KG
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,,1,N/A,0.18,1,0.04
0+3/4,20,27,,1,N/A,0.15,1,0.05
1,25,33,,1.5,N/A,0.18,1.5,0.08
1+1/4,32,42,,1.5,N/A,0.19,1.5,0.09
1+1/2,40,48,,1.5,N/A,0.2,1.5,0.1
2,50,60,,1.5,N/A,0.22,1.75,0.16
2+1/2,65,73,,1.5,N/A,0.28,2,0.25
3,80,89,,2,N/A,0.3,2.5,0.4
3+1/2,90,102,,2.5,N/A,0.32,3,0.55
4,100,114,,2.5,N/A,0.34,3,0.6
5,125,141,,3,N/A,0.38,3.5,0.9
6,150,168,,3.5,N/A,0.43,4,1.25
8,200,219,,4,N/A,0.5,5,2.1
10,250,273,,5,N/A,0.5,6,4.3
12,300,324,,6,N/A,0.5,7,6.4
14,350,356,,6.5,N/A,0.5,7.5,7.8
16,400,406,,7,N/A,0.5,8,13.5
18,450,457,,8,N/A,0.5,9,17.2
20,500,508,,9,N/A,0.5,10,25
22,550,559,,10,N/A,0.5,10,30
24,600,610,,10.5,N/A,0.5,12,34
26,650,660,N/A,10.5,N/A,N/A,N/A,42
28,700,711,N/A,10.5,N/A,N/A,N/A,47
30,750,762,N/A,10.5,N/A,N/A,N/A,51
