7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A
1,25,34.13125,1.62,1,2,0.35
1+1/4,32,42.8625,2.06,1.25,2.5,0.6
1+1/2,40,48.41875,2.44,1.5,3,0.8
2,50,60.325,3.19,2,4,1.4
2+1/2,65,76.2,3.94,2.5,5,2.6
3,80,88.9,4.75,3,6,3.8
3+1/2,90,101.6,5.5,3.5,7,4.8
4,100,114.3,6.25,4,8,8.2
5,125,139.7,7.75,5,10,15
6,150,165.1,9.31,6,12,24
8,200,219.075,12.31,8,16,50
10,250,273.05,15.38,10,20,90
12,300,323.85,18.38,12,24,113
