5,2,3,4,5
NB,NB,OD,45 ctr to end,90 ctr to end
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,20.6375,15.875,38.1
0+3/4,20,26.9875,19,38.1
1,25,33.3375,22.225,38.1
1+1/4,32,42.06875,24.60625,47.625
1+1/2,40,47.625,29.36875,57.15
2,50,60.325,34.925,76.2
2+1/2,65,73.025,43.65625,95.25
3,80,88.9,50.8,114.3
3+1/2,90,102.39375,57.15,133.35
4,100,114.3,64.29375,152.4
5,125,141.2875,79.375,190.5
6,150,168.275,95.25,228.6
8,200,219.075,127,304.8
10,250,273.05,158.75,381
12,300,323.85,189.70625,457.2
14,350,356.39375,222.25,533.4
16,400,405.60625,254,609.6
18,450,457.2,285.75,685.8
20,500,508,318.29375,762
22,550,558.8,342.9,838.2
24,600,610.39375,381,914.4
26,650,600.075,405.60625,990.6
28,700,711.2,438.15,1066.8
30,750,762,469.9,1143
32,800,812.8,501.65,1219.2
34,850,854.075,532.60625,1270
36,900,913.60625,584.99375,1371.6
38,950,N/A,N/A,N/A
40,1000,1016,631.825,1524
42,1050,1066.8,659.60625,1600.2
44,1100,N/A,N/A,N/A
46,1150,N/A,N/A,N/A
48,1200,1219.2,758.825,1828.8
