7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A
1,25,34.13125,1.62,1,2,0.27
1+1/4,32,42.8625,2.06,1.25,2.5,0.4
1+1/2,40,48.41875,2.44,1.5,3,0.62
2,50,60.325,3.19,2,4,0.94
2+1/2,65,76.2,3.94,2.5,5,1.42
3,80,88.9,4.75,3,6,2.16
3+1/2,90,101.6,5.5,3.5,7,3.27
4,100,114.3,6.25,4,8,4.95
5,125,139.7,7.75,5,10,7.51
6,150,165.1,9.31,6,12,11.38
8,200,219.075,12.31,8,16,17.24
10,250,273.05,15.38,10,20,26.13
12,300,323.85,18.38,12,24,39.6
14,350,355.6,21,14,28,60
16,400,406.4,24,16,32,79.35
18,450,457.2,27,18,36,97.5
20,500,508,30,20,40,130
22,550,558.8,33,22,44,160
24,600,609.6,36,24,48,192
