10,2,3,,5,6,7,8,9,10
NPS,DN,Diameter,Thickness,Weight,XS,Schedule,water,total,units
[Note (1)],Note 2,in.,in.,lb/ft,or XXS,No,lb/ft,lb/ft,lb/ft
26,650,26,0.312,85.68,,10,217.64,303.32,lb/ft
26,650,26,0.344,94.35,,,216.54,310.89,lb/ft
26,650,26,0.375,102.72,STD,,215.48,318.2,lb/ft
26,650,26,0.406,111.08,,,214.43,325.51,lb/ft
26,650,26,0.438,119.69,,,213.34,333.03,lb/ft
26,650,26,0.469,128,,,212.29,340.29,lb/ft
26,650,26,0.5,136.3,XS,20,211.24,347.54,lb/ft
26,650,26,0.562,152.83,,,209.15,361.98,lb/ft
26,650,26,0.625,169.54,,,207.03,376.57,lb/ft
26,650,26,0.688,186.16,,,204.93,391.09,lb/ft
26,650,26,0.75,202.44,,,202.87,405.31,lb/ft
26,650,26,0.812,218.64,,,200.82,419.46,lb/ft
26,650,26,0.875,235.01,,,198.75,433.76,lb/ft
26,650,26,0.938,251.3,,,196.69,447.99,lb/ft
26,650,26,1,267.25,,,194.68,461.93,lb/ft
28,700,28,0.25,74.16,,,255.6,329.76,lb/ft
28,700,28,0.281,83.26,,,254.45,337.71,lb/ft
28,700,28,0.312,92.35,,10,253.3,345.65,lb/ft
28,700,28,0.344,101.7,,,252.11,353.81,lb/ft
28,700,28,0.375,110.74,STD,,250.97,361.71,lb/ft
28,700,28,0.406,119.76,,,249.83,369.59,lb/ft
28,700,28,0.438,129.05,,,248.66,377.71,lb/ft
28,700,28,0.469,138.03,,,247.52,385.55,lb/ft
28,700,28,0.5,146.99,XS,20,246.39,393.38,lb/ft
28,700,28,0.562,164.84,,,244.13,408.97,lb/ft
28,700,28,0.625,182.9,,30,241.85,424.75,lb/ft
28,700,28,0.688,200.87,,,239.57,440.44,lb/ft
28,700,28,0.75,218.48,,,237.35,455.83,lb/ft
28,700,28,0.812,236,,,235.13,471.13,lb/ft
28,700,28,0.875,253.72,,,232.89,486.61,lb/ft
28,700,28,0.938,271.36,,,230.66,502.02,lb/ft
28,700,28,1,288.63,,,228.47,517.1,lb/ft
30,750,30,0.25,79.51,,5,294.13,373.64,lb/ft
30,750,30,0.281,89.27,,,292.89,382.16,lb/ft
30,750,30,0.312,99.02,,10,291.66,390.68,lb/ft
30,750,30,0.344,109.06,,,290.39,399.45,lb/ft
30,750,30,0.375,118.76,STD,,289.16,407.92,lb/ft
30,750,30,0.406,128.44,,,287.94,416.38,lb/ft
30,750,30,0.438,138.42,,,286.68,425.1,lb/ft
30,750,30,0.469,148.06,,,285.46,433.52,lb/ft
30,750,30,0.5,157.68,XS,20,284.24,441.92,lb/ft
30,750,30,0.562,176.86,,,281.82,458.68,lb/ft
30,750,30,0.625,196.26,,30,279.36,475.62,lb/ft
30,750,30,0.688,215.58,,,276.92,492.5,lb/ft
30,750,30,0.75,234.51,,,274.52,509.03,lb/ft
30,750,30,0.812,253.36,,,272.14,525.5,lb/ft
30,750,30,0.875,272.43,,,269.73,542.16,lb/ft
30,750,30,0.938,291.41,,,267.33,558.74,lb/ft
30,750,30,1,310.01,,,264.98,574.99,lb/ft
30,750,30,1.062,328.53,,,262.63,591.16,lb/ft
30,750,30,1.125,347.26,,,260.27,607.53,lb/ft
30,750,30,1.188,365.9,,,257.91,623.81,lb/ft
30,750,30,1.25,384.17,,,255.6,639.77,lb/ft
32,800,32,0.25,84.85,,,335.36,420.21,lb/ft
32,800,32,0.281,95.28,,,334.04,429.32,lb/ft
32,800,32,0.312,105.69,,10,332.73,438.42,lb/ft
32,800,32,0.344,116.41,,,331.37,447.78,lb/ft
32,800,32,0.375,126.78,STD,,330.06,456.84,lb/ft
32,800,32,0.406,137.12,,,328.75,465.87,lb/ft
32,800,32,0.438,147.78,,,327.4,475.18,lb/ft
32,800,32,0.469,158.08,,,326.1,484.18,lb/ft
32,800,32,0.5,168.37,XS,20,324.8,493.17,lb/ft
32,800,32,0.562,188.87,,,322.21,511.08,lb/ft
32,800,32,0.625,209.62,,30,319.58,529.2,lb/ft
32,800,32,0.688,230.29,,40,316.97,547.26,lb/ft
32,800,32,0.75,250.55,,,314.41,564.96,lb/ft
32,800,32,0.812,270.72,,,311.86,582.58,lb/ft
32,800,32,0.875,291.14,,,309.27,600.41,lb/ft
32,800,32,0.938,311.47,,,306.7,618.17,lb/ft
32,800,32,1,331.39,,,304.18,635.57,lb/ft
32,800,32,1.062,351.23,,,301.67,652.9,lb/ft
32,800,32,1.125,371.31,,,299.13,670.44,lb/ft
32,800,32,1.188,391.3,,,296.61,687.91,lb/ft
32,800,32,1.25,410.9,,,294.13,705.03,lb/ft
34,850,34,0.25,90.2,,,379.3,469.5,lb/ft
34,850,34,0.281,101.29,,,377.9,479.19,lb/ft
34,850,34,0.312,112.36,,10,376.5,488.86,lb/ft
34,850,34,0.344,123.77,,,375.05,498.82,lb/ft
34,850,34,0.375,134.79,STD,,373.66,508.45,lb/ft
34,850,34,0.406,145.8,,,372.27,518.07,lb/ft
34,850,34,0.438,157.14,,,370.83,527.97,lb/ft
34,850,34,0.469,168.11,,,369.45,537.56,lb/ft
34,850,34,0.5,179.06,XS,20,368.06,547.12,lb/ft
34,850,34,0.562,200.89,,,365.3,566.19,lb/ft
34,850,34,0.625,222.99,,30,362.51,585.5,lb/ft
34,850,34,0.688,245,,40,359.72,604.72,lb/ft
34,850,34,0.75,266.58,,,356.99,623.57,lb/ft
34,850,34,0.812,288.08,,,354.27,642.35,lb/ft
34,850,34,0.875,309.84,,,351.52,661.36,lb/ft
34,850,34,0.938,331.52,,,348.78,680.3,lb/ft
34,850,34,1,352.77,,,346.09,698.86,lb/ft
34,850,34,1.062,373.94,,,343.42,717.36,lb/ft
34,850,34,1.125,395.36,,,340.71,736.07,lb/ft
34,850,34,1.188,416.7,,,338.01,754.71,lb/ft
34,850,34,1.25,437.62,,,335.36,772.98,lb/ft
36,900,36,0.25,95.54,,,425.94,521.48,lb/ft
36,900,36,0.281,107.3,,,424.46,531.76,lb/ft
36,900,36,0.312,119.03,,10,422.97,542,lb/ft
36,900,36,0.344,131.12,,,421.44,552.56,lb/ft
36,900,36,0.375,142.81,STD,,419.96,562.77,lb/ft
36,900,36,0.406,154.48,,,418.49,572.97,lb/ft
36,900,36,0.438,166.51,,,416.97,583.48,lb/ft
36,900,36,0.469,178.14,,,415.5,593.64,lb/ft
36,900,36,0.5,189.75,XS,20,414.03,603.78,lb/ft
36,900,36,0.562,212.9,,,411.1,624,lb/ft
36,900,36,0.625,236.35,,30,408.13,644.48,lb/ft
36,900,36,0.688,259.71,,,405.18,664.89,lb/ft
36,900,36,0.75,282.62,,40,402.28,684.9,lb/ft
36,900,36,0.812,305.44,,,399.4,704.84,lb/ft
36,900,36,0.875,328.55,,,396.47,725.02,lb/ft
36,900,36,0.938,351.57,,,393.56,745.13,lb/ft
36,900,36,1,374.15,,,390.71,764.86,lb/ft
36,900,36,1.062,396.64,,,387.86,784.5,lb/ft
36,900,36,1.125,419.42,,,384.98,804.4,lb/ft
36,900,36,1.188,442.1,,,382.11,824.21,lb/ft
36,900,36,1.25,464.35,,,379.3,843.65,lb/ft
38,950,38,0.312,125.7,,,472.15,597.85,lb/ft
38,950,38,0.344,138.47,,,470.53,609,lb/ft
38,950,38,0.375,150.83,STD,,468.97,619.8,lb/ft
38,950,38,0.406,163.16,,,467.41,630.57,lb/ft
38,950,38,0.438,175.87,,,465.8,641.67,lb/ft
38,950,38,0.469,188.17,,,464.25,652.42,lb/ft
38,950,38,0.5,200.44,XS,,462.7,663.14,lb/ft
38,950,38,0.562,224.92,,,459.6,684.52,lb/ft
38,950,38,0.625,249.71,,,456.47,706.18,lb/ft
38,950,38,0.688,274.42,,,453.34,727.76,lb/ft
38,950,38,0.75,298.65,,,450.28,748.93,lb/ft
38,950,38,0.812,322.8,,,447.22,770.02,lb/ft
38,950,38,0.875,347.26,,,444.13,791.39,lb/ft
38,950,38,0.938,371.63,,,441.05,812.68,lb/ft
38,950,38,1,395.53,,,438.03,833.56,lb/ft
38,950,38,1.062,419.35,,,435.01,854.36,lb/ft
38,950,38,1.125,443.47,,,431.96,875.43,lb/ft
38,950,38,1.188,467.5,,,428.92,896.42,lb/ft
38,950,38,1.25,491.07,,,425.94,917.01,lb/ft
40,1000,40,0.312,132.37,,,524.03,656.4,lb/ft
40,1000,40,0.344,145.83,,,522.33,668.16,lb/ft
40,1000,40,0.375,158.85,STD,,520.68,679.53,lb/ft
40,1000,40,0.406,171.84,,,519.04,690.88,lb/ft
40,1000,40,0.438,185.24,,,517.35,702.59,lb/ft
40,1000,40,0.469,198.19,,,515.71,713.9,lb/ft
40,1000,40,0.5,211.13,XS,,514.07,725.2,lb/ft
40,1000,40,0.562,236.93,,,510.81,747.74,lb/ft
40,1000,40,0.625,263.07,,,507.5,770.57,lb/ft
40,1000,40,0.688,289.13,,,504.21,793.34,lb/ft
40,1000,40,0.75,314.69,,,500.97,815.66,lb/ft
40,1000,40,0.812,340.16,,,497.75,837.91,lb/ft
40,1000,40,0.875,365.97,,,494.49,860.46,lb/ft
40,1000,40,0.938,391.68,,,491.24,882.92,lb/ft
40,1000,40,1,416.91,,,488.05,904.96,lb/ft
40,1000,40,1.062,442.05,,,484.87,926.92,lb/ft
40,1000,40,1.125,467.52,,,481.65,949.17,lb/ft
40,1000,40,1.188,492.9,,,478.44,971.34,lb/ft
40,1000,40,1.25,517.8,,,475.29,993.09,lb/ft
42,1050,42,0.344,153.18,,,576.83,730.01,lb/ft
42,1050,42,0.375,166.86,STD,,575.1,741.96,lb/ft
42,1050,42,0.406,180.52,,,573.37,753.89,lb/ft
42,1050,42,0.438,194.6,,,571.59,766.19,lb/ft
42,1050,42,0.469,208.22,,,569.87,778.09,lb/ft
42,1050,42,0.5,221.82,XS,,568.15,789.97,lb/ft
42,1050,42,0.562,248.95,,,564.72,813.67,lb/ft
42,1050,42,0.625,276.44,,,561.24,837.68,lb/ft
42,1050,42,0.688,303.84,,,557.78,861.62,lb/ft
42,1050,42,0.75,330.72,,,554.38,885.1,lb/ft
42,1050,42,0.812,357.52,,,550.99,908.51,lb/ft
42,1050,42,0.875,384.67,,,547.55,932.22,lb/ft
42,1050,42,0.938,411.74,,,544.13,955.87,lb/ft
42,1050,42,1,438.29,,,540.77,979.06,lb/ft
42,1050,42,1.062,464.76,,,537.43,1002.19,lb/ft
42,1050,42,1.125,491.57,,,534.03,1025.6,lb/ft
42,1050,42,1.188,518.3,,,530.65,1048.95,lb/ft
42,1050,42,1.25,544.52,,,527.34,1071.86,lb/ft
44,1100,44,0.344,160.54,,,634.03,794.57,lb/ft
44,1100,44,0.375,174.88,STD,,632.22,807.1,lb/ft
44,1100,44,0.406,189.2,,,630.41,819.61,lb/ft
44,1100,44,0.438,203.97,,,628.54,832.51,lb/ft
44,1100,44,0.469,218.25,,,626.73,844.98,lb/ft
44,1100,44,0.5,232.51,XS,,624.93,857.44,lb/ft
44,1100,44,0.562,260.97,,,621.33,882.3,lb/ft
44,1100,44,0.625,289.8,,,617.69,907.49,lb/ft
44,1100,44,0.688,318.55,,,614.05,932.6,lb/ft
44,1100,44,0.75,346.76,,,610.48,957.24,lb/ft
44,1100,44,0.812,374.88,,,606.93,981.81,lb/ft
44,1100,44,0.875,403.38,,,603.32,1006.7,lb/ft
44,1100,44,0.938,431.79,,,599.73,1031.52,lb/ft
44,1100,44,1,459.67,,,596.2,1055.87,lb/ft
44,1100,44,1.062,487.47,,,592.69,1080.16,lb/ft
44,1100,44,1.125,515.63,,,589.13,1104.76,lb/ft
44,1100,44,1.188,543.7,,,585.58,1129.28,lb/ft
44,1100,44,1.25,571.25,,,582.09,1153.34,lb/ft
46,1150,46,0.344,167.89,,,693.94,861.83,lb/ft
46,1150,46,0.375,182.9,STD,,692.04,874.94,lb/ft
46,1150,46,0.406,197.88,,,690.15,888.03,lb/ft
46,1150,46,0.438,213.33,,,688.19,901.52,lb/ft
46,1150,46,0.469,228.27,,,686.3,914.57,lb/ft
46,1150,46,0.5,243.2,XS,,684.42,927.62,lb/ft
46,1150,46,0.562,272.98,,,680.65,953.63,lb/ft
46,1150,46,0.625,303.16,,,676.83,979.99,lb/ft
46,1150,46,0.688,333.26,,,673.03,1006.29,lb/ft
46,1150,46,0.75,362.79,,,669.29,1032.08,lb/ft
46,1150,46,0.812,392.24,,,665.57,1057.81,lb/ft
46,1150,46,0.875,422.09,,,661.79,1083.88,lb/ft
46,1150,46,0.938,451.85,,,658.03,1109.88,lb/ft
46,1150,46,1,481.05,,,654.34,1135.39,lb/ft
46,1150,46,1.062,510.17,,,650.65,1160.82,lb/ft
46,1150,46,1.125,539.68,,,646.92,1186.6,lb/ft
46,1150,46,1.188,569.1,,,643.2,1212.3,lb/ft
46,1150,46,1.25,597.97,,,639.55,1237.52,lb/ft
48,1200,48,0.344,175.25,,,756.55,931.8,lb/ft
48,1200,48,0.375,190.92,STD,,754.57,945.49,lb/ft
48,1200,48,0.406,206.56,,,752.59,959.15,lb/ft
48,1200,48,0.438,222.7,,,750.55,973.25,lb/ft
48,1200,48,0.469,238.3,,,748.58,986.88,lb/ft
48,1200,48,0.5,253.89,XS,,746.61,1000.5,lb/ft
48,1200,48,0.562,285,,,742.67,1027.67,lb/ft
48,1200,48,0.625,316.52,,,738.68,1055.2,lb/ft
48,1200,48,0.688,347.97,,,734.71,1082.68,lb/ft
48,1200,48,0.75,378.83,,,730.81,1109.64,lb/ft
48,1200,48,0.812,409.61,,,726.91,1136.52,lb/ft
48,1200,48,0.875,440.8,,,722.97,1163.77,lb/ft
48,1200,48,0.938,471.9,,,719.03,1190.93,lb/ft
48,1200,48,1,502.43,,,715.17,1217.6,lb/ft
48,1200,48,1.062,532.88,,,711.32,1244.2,lb/ft
48,1200,48,1.125,563.73,,,707.42,1271.15,lb/ft
48,1200,48,1.188,594.5,,,703.53,1298.03,lb/ft
48,1200,48,1.25,624.7,,,699.71,1324.41,lb/ft
52,1300,52,0.375,206.95,,,887.74,1094.69,lb/ft
52,1300,52,0.406,223.93,,,885.59,1109.52,lb/ft
52,1300,52,0.438,241.42,,,883.38,1124.8,lb/ft
52,1300,52,0.469,258.36,,,881.24,1139.6,lb/ft
52,1300,52,0.5,275.27,,,879.1,1154.37,lb/ft
52,1300,52,0.562,309.03,,,874.83,1183.86,lb/ft
52,1300,52,0.625,343.25,,,870.5,1213.75,lb/ft
52,1300,52,0.688,377.39,,,866.18,1243.57,lb/ft
52,1300,52,0.75,410.9,,,861.94,1272.84,lb/ft
52,1300,52,0.812,444.33,,,857.72,1302.05,lb/ft
52,1300,52,0.875,478.21,,,853.43,1331.64,lb/ft
52,1300,52,0.938,512.01,,,849.16,1361.17,lb/ft
52,1300,52,1,545.19,,,844.96,1390.15,lb/ft
52,1300,52,1.062,578.29,,,840.77,1419.06,lb/ft
52,1300,52,1.125,611.84,,,836.53,1448.37,lb/ft
52,1300,52,1.188,645.3,,,832.3,1477.6,lb/ft
52,1300,52,1.25,678.15,,,828.15,1506.3,lb/ft
56,1400,56,0.375,222.99,,,1031.72,1254.71,lb/ft
56,1400,56,0.406,241.29,,,1029.4,1270.69,lb/ft
56,1400,56,0.438,260.15,,,1027.02,1287.17,lb/ft
56,1400,56,0.469,278.41,,,1024.71,1303.12,lb/ft
56,1400,56,0.5,296.65,,,1022.4,1319.05,lb/ft
56,1400,56,0.562,333.06,,,1017.8,1350.86,lb/ft
56,1400,56,0.625,369.97,,,1013.13,1383.1,lb/ft
56,1400,56,0.688,406.8,,,1008.47,1415.27,lb/ft
56,1400,56,0.75,442.97,,,1003.9,1446.87,lb/ft
56,1400,56,0.812,479.05,,,999.34,1478.39,lb/ft
56,1400,56,0.875,515.63,,,994.71,1510.34,lb/ft
56,1400,56,0.938,552.12,,,990.09,1542.21,lb/ft
56,1400,56,1,587.95,,,985.56,1573.51,lb/ft
56,1400,56,1.062,623.7,,,981.04,1604.74,lb/ft
56,1400,56,1.125,659.94,,,976.46,1636.4,lb/ft
56,1400,56,1.188,696.1,,,971.89,1667.99,lb/ft
56,1400,56,1.25,731.6,,,967.4,1699,lb/ft
60,1500,60,0.375,239.02,,,1186.52,1425.54,lb/ft
60,1500,60,0.406,258.65,,,1184.03,1442.68,lb/ft
60,1500,60,0.438,278.88,,,1181.48,1460.36,lb/ft
60,1500,60,0.469,298.47,,,1179,1477.47,lb/ft
60,1500,60,0.5,318.03,,,1176.52,1494.55,lb/ft
60,1500,60,0.562,357.09,,,1171.58,1528.67,lb/ft
60,1500,60,0.625,396.7,,,1166.58,1563.28,lb/ft
60,1500,60,0.688,436.22,,,1161.58,1597.8,lb/ft
60,1500,60,0.75,475.04,,,1156.67,1631.71,lb/ft
60,1500,60,0.812,513.77,,,1151.77,1665.54,lb/ft
60,1500,60,0.875,553.04,,,1146.8,1699.84,lb/ft
60,1500,60,0.938,592.23,,,1141.85,1734.08,lb/ft
60,1500,60,1,630.71,,,1136.98,1767.69,lb/ft
60,1500,60,1.062,669.11,,,1132.12,1801.23,lb/ft
60,1500,60,1.125,708.05,,,1127.2,1835.25,lb/ft
60,1500,60,1.188,746.9,,,1122.29,1869.19,lb/ft
60,1500,60,1.25,785.05,,,1117.46,1902.51,lb/ft
64,1600,64,0.375,255.06,,,1352.13,1607.19,lb/ft
64,1600,64,0.406,276.01,,,1349.48,1625.49,lb/ft
64,1600,64,0.438,297.61,,,1346.75,1644.36,lb/ft
64,1600,64,0.469,318.52,,,1344.1,1662.62,lb/ft
64,1600,64,0.5,339.41,,,1341.46,1680.87,lb/ft
64,1600,64,0.562,381.12,,,1336.19,1717.31,lb/ft
64,1600,64,0.625,423.42,,,1330.84,1754.26,lb/ft
64,1600,64,0.688,465.64,,,1325.5,1791.14,lb/ft
64,1600,64,0.75,507.11,,,1320.25,1827.36,lb/ft
64,1600,64,0.812,548.49,,,1315.02,1863.51,lb/ft
64,1600,64,0.875,590.46,,,1309.71,1900.17,lb/ft
64,1600,64,0.938,632.34,,,1304.42,1936.76,lb/ft
64,1600,64,1,673.47,,,1299.21,1972.68,lb/ft
64,1600,64,1.062,714.52,,,1294.02,2008.54,lb/ft
64,1600,64,1.125,756.15,,,1288.76,2044.91,lb/ft
64,1600,64,1.188,797.69,,,1283.5,2081.19,lb/ft
64,1600,64,1.25,838.5,,,1278.34,2116.84,lb/ft
68,1700,68,0.469,338.57,,,1520.02,1858.59,lb/ft
68,1700,68,0.5,360.79,,,1517.21,1878,lb/ft
68,1700,68,0.562,405.15,,,1511.6,1916.75,lb/ft
68,1700,68,0.625,450.15,,,1505.91,1956.06,lb/ft
68,1700,68,0.688,495.06,,,1500.23,1995.29,lb/ft
68,1700,68,0.75,539.18,,,1494.65,2033.83,lb/ft
68,1700,68,0.812,583.21,,,1489.09,2072.3,lb/ft
68,1700,68,0.875,627.87,,,1483.44,2111.31,lb/ft
68,1700,68,0.938,672.45,,,1477.8,2150.25,lb/ft
68,1700,68,1,716.23,,,1472.26,2188.49,lb/ft
68,1700,68,1.062,759.93,,,1466.74,2226.67,lb/ft
68,1700,68,1.125,804.26,,,1461.13,2265.39,lb/ft
68,1700,68,1.188,848.49,,,1455.54,2304.03,lb/ft
68,1700,68,1.25,891.95,,,1450.04,2341.99,lb/ft
72,1800,72,0.5,382.17,,,1703.78,2085.95,lb/ft
72,1800,72,0.562,429.18,,,1697.84,2127.02,lb/ft
72,1800,72,0.625,476.87,,,1691.81,2168.68,lb/ft
72,1800,72,0.688,524.48,,,1685.79,2210.27,lb/ft
72,1800,72,0.75,571.25,,,1679.87,2251.12,lb/ft
72,1800,72,0.812,617.93,,,1673.97,2291.9,lb/ft
72,1800,72,0.875,665.29,,,1667.98,2333.27,lb/ft
72,1800,72,0.938,712.55,,,1662,2374.55,lb/ft
72,1800,72,1,758.99,,,1656.13,2415.12,lb/ft
72,1800,72,1.062,805.34,,,1650.26,2455.6,lb/ft
72,1800,72,1.125,852.36,,,1644.32,2496.68,lb/ft
72,1800,72,1.188,899.29,,,1638.38,2537.67,lb/ft
72,1800,72,1.25,945.4,,,1632.55,2577.95,lb/ft
76,1900,76,0.5,403.55,,,1901.17,2304.72,lb/ft
76,1900,76,0.562,453.21,,,1894.89,2348.1,lb/ft
76,1900,76,0.625,503.6,,,1888.51,2392.11,lb/ft
76,1900,76,0.688,553.9,,,1882.15,2436.05,lb/ft
76,1900,76,0.75,603.32,,,1875.9,2479.22,lb/ft
76,1900,76,0.812,652.65,,,1869.66,2522.31,lb/ft
76,1900,76,0.875,702.7,,,1863.33,2566.03,lb/ft
76,1900,76,0.938,752.66,,,1857.01,2609.67,lb/ft
76,1900,76,1,801.75,,,1850.81,2652.56,lb/ft
76,1900,76,1.062,850.75,,,1844.61,2695.36,lb/ft
76,1900,76,1.125,900.47,,,1838.32,2738.79,lb/ft
76,1900,76,1.188,950.09,,,1832.05,2782.14,lb/ft
76,1900,76,1.25,998.85,,,1825.88,2824.73,lb/ft
80,2000,80,0.562,477.25,,,2102.75,2580,lb/ft
80,2000,80,0.625,530.32,,,2096.04,2626.36,lb/ft
80,2000,80,0.688,583.32,,,2089.34,2672.66,lb/ft
80,2000,80,0.75,635.39,,,2082.75,2718.14,lb/ft
80,2000,80,0.812,687.37,,,2076.18,2763.55,lb/ft
80,2000,80,0.875,740.12,,,2069.51,2809.63,lb/ft
80,2000,80,0.938,792.77,,,2062.85,2855.62,lb/ft
80,2000,80,1,844.51,,,2056.3,2900.81,lb/ft
80,2000,80,1.062,896.17,,,2049.77,2945.94,lb/ft
80,2000,80,1.125,948.57,,,2043.14,2991.71,lb/ft
80,2000,80,1.188,1000.89,,,2036.53,3037.42,lb/ft
80,2000,80,1.25,1052.3,,,2030.02,3082.32,lb/ft
