20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,0.84,3.5,0.5,1.62,0.19,Half Ring Height,0.5in indicator hole,0.875,0.53,0.27,0.25,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.75,4.75,5.5
0+3/4,20,1.05,3.75,0.62,1.88,0.19,Half Ring Height,0.5in indicator hole,0.875,0.62,0.32,0.29,PADDLE BLANK,PADDLE SPACER,0+3/4,20,5,5,5.75
1,25,1.32,4.25,0.62,2.12,0.19,Half Ring Height,0.5in indicator hole,1,0.79,0.41,0.37,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.5,5.5,6.25
1+1/4,32,1.66,5.12,0.75,2.12,0.27,Half Ring Height,0.5in indicator hole,1.125,1.56,0.82,0.73,PADDLE BLANK,PADDLE SPACER,1,27,6,6,7
1+1/2,40,1.9,5.75,0.88,2.38,0.31,Half Ring Height,0.5in indicator hole,1.25,2.39,1.28,1.11,PADDLE BLANK,PADDLE SPACER,1+1/8,30,6.75,6.75,7.75
2,50,2.38,6.75,1,2.25,0.31,Half Ring Height,0.5in indicator hole,1.125,3.75,2.01,1.73,PADDLE BLANK,PADDLE SPACER,1,27,7,7,8.25
2+1/2,65,2.88,7.75,1.12,2.38,0.39,Half Ring Height,0.5in indicator hole,1.25,6.05,3.26,2.78,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7.75,8,9.25
3,80,3.5,9,1.25,3,0.47,Half Ring Height,0.5in indicator hole,1.375,9.73,5.29,4.43,PADDLE BLANK,PADDLE SPACER,1+1/4,33,8.75,9,10.5
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,4.5,10.75,1.5,3.25,0.86,Half Ring Height,0.5in indicator hole,1.625,17.34,9.59,7.74,PADDLE BLANK,PADDLE SPACER,1+1/2,39,10,10.75,12.5
5,130,5.56,12.75,1.88,3.5,1.06,Half Ring Height,0.5in indicator hole,1.875,29.97,16.79,13.17,PADDLE BLANK,PADDLE SPACER,1+3/4,42,11.75,12.25,14.25
6,150,6.62,14.5,2.25,3.75,1.22,Half Ring Height,0.5in indicator hole,2.125,44.77,25.44,19.32,PADDLE BLANK,PADDLE SPACER,2,52,13.5,14,16.5
8,200,8.62,17.25,2.75,3.75,1.61,Half Ring Height,0.5in indicator hole,2.125,86.39,49.82,36.57,PADDLE BLANK,PADDLE SPACER,2,52,15,15.5,18.5
10,250,10.75,21.25,3.25,3.75,1.97,Half Ring Height,0.5in indicator hole,2.625,161.18,93.43,67.74,PADDLE BLANK,PADDLE SPACER,2+1/2,64,19.25,20,23.5
12,300,12.75,24.38,3.88,6,2.36,Half Ring Height,0.5in indicator hole,2.875,255.01,148.27,106.73,PADDLE BLANK,PADDLE SPACER,2+3/4,72,21.25,22,26
