24,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,Gasket thk,RF Thk,FF Bolt Len,RF Bolt Len
0+1/2,15,0.62,1.75,2.38,0.12,1.5,0.08,Optional Raised Face,0.5,0.625,0.07,0.03,0.03,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.25,N/A,0.13,0.06,2.75,2.75
0+3/4,20,0.82,2.12,2.75,0.12,1.5,0.08,Optional Raised Face,0.5,0.625,0.1,0.05,0.04,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.5,N/A,0.13,0.06,3,3
1,25,1.05,2.5,3.12,0.12,1.5,0.08,Optional Raised Face,0.5,0.625,0.14,0.07,0.06,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.5,3,0.13,0.06,3,3
1+1/4,32,1.66,2.88,3.5,0.25,1.5,0.15,Optional Raised Face,0.5,0.625,0.35,0.21,0.14,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.75,3.25,0.13,0.06,3.25,3.5
1+1/2,40,1.9,3.25,3.88,0.25,1.5,0.15,Optional Raised Face,0.5,0.625,0.46,0.27,0.18,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.75,3.25,0.13,0.06,3.25,3.5
2,50,2.38,4,4.75,0.25,2,0.15,Optional Raised Face,0.5,0.75,0.68,0.41,0.26,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.25,3.75,0.13,0.06,3.75,4
2+1/2,65,2.88,4.75,5.5,0.25,2,0.15,Optional Raised Face,0.5,0.75,0.7,0.46,0.24,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,0.13,0.06,4,4.25
3,80,3.5,5.25,6,0.25,2.5,0.15,Optional Raised Face,0.5,0.75,1.1,0.71,0.39,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,0.13,0.06,4,4.25
3+1/2,90,4,6.25,7,0.38,2.5,0.19,Optional Raised Face,0.5,0.75,2.44,1.54,0.9,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,0.13,0.06,4.25,4.25
4,100,4.5,6.75,7.5,0.38,2.5,0.19,Optional Raised Face,0.5,0.75,2.81,1.8,1.01,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,0.13,0.06,4.25,4.25
5,130,5.56,7.62,8.5,0.38,3,0.19,Optional Raised Face,0.5,0.875,3.37,2.29,1.08,PADDLE BLANK,PADDLE SPACER,0+3/4,20,3.75,4.25,0.13,0.06,4.5,4.5
6,150,6.62,8.62,9.5,0.5,3,0.27,Optional Raised Face,0.5,0.875,5.39,3.82,1.57,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4,4.5,0.13,0.06,4.75,5
8,200,8.62,10.88,11.75,0.5,3,0.39,Optional Raised Face,0.5,0.875,8.32,6.07,2.25,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.75,0.13,0.06,5,5.25
10,250,10.75,13.25,14.25,0.62,4,0.47,Optional Raised Face,0.5,1,15.04,11.19,3.84,PADDLE BLANK,PADDLE SPACER,0+7/8,24,4.5,5,0.13,0.06,5.5,5.5
12,300,12.75,16,17,0.75,4,0.59,Optional Raised Face,0.5,1,26.95,19.77,7.18,PADDLE BLANK,PADDLE SPACER,0+7/8,24,4.75,5.25,0.13,0.06,5.75,6
14,350,14,17.62,18.75,0.75,4.25,0.59,Optional Raised Face,0.5,1.125,32.94,24.07,8.87,PADDLE BLANK,PADDLE SPACER,1,27,5.25,5.75,0.13,0.06,6.25,6.5
16,400,16,20.12,21.25,0.88,4.25,0.67,Optional Raised Face,0.5,1.125,50.27,36.73,13.54,PADDLE BLANK,PADDLE SPACER,1,27,5.25,5.75,0.13,0.06,6.5,6.5
18,450,18,21.5,22.75,1,4.5,0.78,Optional Raised Face,0.5,1.25,61.79,47.55,14.23,PADDLE BLANK,PADDLE SPACER,1+1/8,30,5.75,6.25,0.13,0.06,7,7.25
20,500,20,23.75,25,1.12,4.75,0.86,Optional Raised Face,0.5,1.25,83.67,64.85,18.82,PADDLE BLANK,PADDLE SPACER,1+1/8,30,6.25,6.75,0.13,0.06,7.75,7.75
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,28.12,29.5,1.25,5.5,0.94,Optional Raised Face,0.5,1.375,129.3,101.8,27.49,PADDLE BLANK,PADDLE SPACER,1+1/4,33,6.75,7.25,0.13,0.06,8.25,8.5
