24,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NB,NB,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,Gasket thk,RF Thk,FF Bolt Len,RF Bolt Len
0+1/2,15,16,67,90,9.7,38,5,With Optional Raised Face,12,22.225,0.53,0.27,0.25,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,120,3.3,7,135,150
0+3/4,20,21,73,95,9.7,41,5,With Optional Raised Face,12,22.225,0.62,0.32,0.29,PADDLE BLANK,PADDLE SPACER,0+3/4,20,125,125,3.3,7,140,155
1,25,27,83,110,9.7,64,5,With Optional Raised Face,12,25.4,0.79,0.41,0.37,PADDLE BLANK,PADDLE SPACER,0+7/8,24,140,140,3.3,7,155,170
1+1/4,32,35,102,130,12.7,64,7,With Optional Raised Face,12,28.575,1.56,0.82,0.73,PADDLE BLANK,PADDLE SPACER,1,27,150,150,3.3,7,170,185
1+1/2,40,41,114,145,15.7,70,8,With Optional Raised Face,12,31.75,2.39,1.28,1.11,PADDLE BLANK,PADDLE SPACER,1+1/8,30,170,170,3.3,7,190,205
2,50,53,143,170,15.7,70,8,With Optional Raised Face,12,28.575,3.75,2.01,1.73,PADDLE BLANK,PADDLE SPACER,1,27,180,180,3.3,7,200,215
2+1/2,65,63,165,195,19.1,76,10,With Optional Raised Face,12,31.75,6.05,3.26,2.78,PADDLE BLANK,PADDLE SPACER,1+1/8,30,195,205,3.3,7,220,235
3,80,78,194,230,22.4,76,12,With Optional Raised Face,12,34.925,9.73,5.29,4.43,PADDLE BLANK,PADDLE SPACER,1+1/4,33,220,230,3.3,7,250,260
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,102,232,275,28.4,89,22,With Optional Raised Face,12,41.275,17.34,9.59,7.74,PADDLE BLANK,PADDLE SPACER,1+1/2,39,255,260,3.3,7,290,305
5,130,128,276,325,35.1,89,27,With Optional Raised Face,12,47.625,29.97,16.79,13.17,PADDLE BLANK,PADDLE SPACER,1+3/4,45,300,310,3.3,7,340,355
6,150,154,314,370,41.1,89,31,With Optional Raised Face,12,53.975,44.77,25.44,19.32,PADDLE BLANK,PADDLE SPACER,2,52,345,355,3.3,7,390,405
8,200,198,384,440,53.8,102,41,With Optional Raised Face,12,53.975,86.39,49.82,36.57,PADDLE BLANK,PADDLE SPACER,2,52,380,395,3.3,7,440,455
10,250,248,473,540,66.5,114,50,With Optional Raised Face,12,66.675,161.18,93.43,67.74,PADDLE BLANK,PADDLE SPACER,2+1/2,64,490,510,3.3,7,560,575
12,300,289,546,620,79.2,114,60,With Optional Raised Face,12,73.025,255.01,148.27,106.73,PADDLE BLANK,PADDLE SPACER,2+3/4,72,540,560,3.3,7,625,640
