20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NB,NB,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65,N/A,N/A
1,25,34,80,6.4,51,2,Half Ring Height,12mm indicator hole,15.875,0.14,0.07,0.06,PADDLE BLANK,PADDLE SPACER,0+1/2,14,65,75,85
1+1/4,32,42,90,6.4,51,4,Half Ring Height,12mm indicator hole,15.875,0.35,0.21,0.14,PADDLE BLANK,PADDLE SPACER,0+1/2,14,70,85,95
1+1/2,40,48,100,6.4,57,4,Half Ring Height,12mm indicator hole,15.875,0.46,0.27,0.18,PADDLE BLANK,PADDLE SPACER,0+1/2,14,70,85,95
2,50,61,120,6.4,57,4,Half Ring Height,12mm indicator hole,19.05,0.68,0.41,0.26,PADDLE BLANK,PADDLE SPACER,0+5/8,16,85,95,105
2+1/2,65,73,140,9.7,57,4,Half Ring Height,12mm indicator hole,19.05,0.7,0.46,0.24,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,100,110
3,80,89,150,9.7,57,4,Half Ring Height,12mm indicator hole,19.05,1.1,0.71,0.39,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,100,110
3+1/2,90,102,175,9.7,64,5,Half Ring Height,12mm indicator hole,19.05,2.44,1.54,0.9,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,100,110
4,100,114,190,9.7,64,5,Half Ring Height,12mm indicator hole,19.05,2.81,1.8,1.01,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,100,110
5,130,141,215,12.7,76,5,Half Ring Height,12mm indicator hole,22.225,3.37,2.29,1.08,PADDLE BLANK,PADDLE SPACER,0+3/4,20,95,110,125
6,150,168,240,12.7,83,7,Half Ring Height,12mm indicator hole,22.225,5.39,3.82,1.57,PADDLE BLANK,PADDLE SPACER,0+3/4,20,100,115,130
8,200,219,300,15.7,95,10,Half Ring Height,12mm indicator hole,22.225,8.32,6.07,2.25,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,120,140
10,250,273,362,19.1,102,12,Half Ring Height,12mm indicator hole,25.4,15.04,11.19,3.84,PADDLE BLANK,PADDLE SPACER,0+7/8,24,115,125,145
12,300,324,432,22.4,121,15,Half Ring Height,12mm indicator hole,25.4,26.95,19.77,7.18,PADDLE BLANK,PADDLE SPACER,0+7/8,24,120,135,160
14,350,356,476,22.4,127,15,Half Ring Height,12mm indicator hole,28.575,32.94,24.07,8.87,PADDLE BLANK,PADDLE SPACER,1,27,135,145,170
16,400,406,540,25.4,127,17,Half Ring Height,12mm indicator hole,28.575,50.27,36.73,13.54,PADDLE BLANK,PADDLE SPACER,1,27,135,145,175
18,450,457,578,28.4,127,20,Half Ring Height,12mm indicator hole,31.75,61.79,47.55,14.23,PADDLE BLANK,PADDLE SPACER,1+1/8,30,145,160,190
20,500,508,635,28.4,127,22,Half Ring Height,12mm indicator hole,31.75,83.67,64.85,18.82,PADDLE BLANK,PADDLE SPACER,1+1/8,30,160,170,200
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,610,749,35.1,152,24,Half Ring Height,12mm indicator hole,34.925,129.3,101.8,27.49,PADDLE BLANK,PADDLE SPACER,1+1/4,33,170,185,225
