20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,0.84,3.25,0.38,1.5,0.15,Half Ring Height,0.5in indicator hole,0.875,0.28,0.14,0.13,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.25,4.75
0+3/4,20,1.05,3.5,0.38,1.75,0.19,Half Ring Height,0.5in indicator hole,0.875,0.52,0.27,0.24,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.5,4.5,5
1,25,1.32,4,0.5,2.12,0.19,Half Ring Height,0.5in indicator hole,1,0.65,0.35,0.3,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,5.75
1+1/4,32,1.66,4.38,0.5,2.12,0.19,Half Ring Height,0.5in indicator hole,1,0.82,0.45,0.37,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,5.75
1+1/2,40,1.9,4.88,0.62,2.25,0.27,Half Ring Height,0.5in indicator hole,1.125,1.3,0.71,0.58,PADDLE BLANK,PADDLE SPACER,1,27,5.5,5.5,6.25
2,50,2.38,6.5,0.75,2.12,0.27,Half Ring Height,0.5in indicator hole,1,2.9,1.56,1.33,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.75,5.75,6.75
2+1/2,65,2.88,7.5,0.88,2.25,0.31,Half Ring Height,0.5in indicator hole,1.125,4.78,2.58,2.19,PADDLE BLANK,PADDLE SPACER,1,27,6.25,6.25,7.25
3,80,3.5,8,1.12,2.88,0.39,Half Ring Height,0.5in indicator hole,1.25,6.36,3.54,2.81,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7,7,8.25
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,4.5,9.5,1.25,3,0.47,Half Ring Height,0.5in indicator hole,1.375,10.47,5.96,4.5,PADDLE BLANK,PADDLE SPACER,1+1/4,33,7.75,7.75,9.25
5,130,5.56,11.5,1.5,3,0.59,Half Ring Height,0.5in indicator hole,1.625,19.55,11.23,8.31,PADDLE BLANK,PADDLE SPACER,1+1/2,39,9.75,9.75,11.5
6,150,6.62,12.5,1.62,3.12,0.71,Half Ring Height,0.5in indicator hole,1.5,29.08,17.15,11.93,PADDLE BLANK,PADDLE SPACER,1+3/8,36,10.25,10.5,12.25
8,200,8.62,15.5,2,3.38,1.22,Half Ring Height,0.5in indicator hole,1.75,52.23,31.43,20.8,PADDLE BLANK,PADDLE SPACER,1+5/8,42,11.5,12.75,15
10,250,10.75,19,2.5,5.25,1.53,Half Ring Height,0.5in indicator hole,2,98.33,59.53,38.79,PADDLE BLANK,PADDLE SPACER,1+7/8,48,13.25,13.5,16.25
12,300,12.75,22.5,2.88,5.25,1.81,Half Ring Height,0.5in indicator hole,2.125,169.01,101.94,67.06,PADDLE BLANK,PADDLE SPACER,2,52,14.75,15.25,18.25
14,350,14,25,3.12,5.5,1.97,Half Ring Height,0.5in indicator hole,2.375,229.84,138.07,91.76,PADDLE BLANK,PADDLE SPACER,2+1/4,56,16,16.75,20
16,400,16,27.75,3.5,5.75,2.28,Half Ring Height,0.5in indicator hole,2.625,320.1,194.78,125.32,PADDLE BLANK,PADDLE SPACER,2+1/2,64,17.5,18.5,22.25
18,450,18,30.5,3.88,6,2.56,Half Ring Height,0.5in indicator hole,2.875,432.4,265.84,166.56,PADDLE BLANK,PADDLE SPACER,2+3/4,70,19.5,20.75,24.75
20,500,20,32.75,4.25,6.5,2.83,Half Ring Height,0.5in indicator hole,3.125,540.14,338.44,201.7,PADDLE BLANK,PADDLE SPACER,3,76,21.25,22.25,26.75
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,39,5,7,3.3,Half Ring Height,0.5in indicator hole,3.625,898.71,564.9,333.8,PADDLE BLANK,PADDLE SPACER,3+1/2,90,24.25,25.5,30.75
