24,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NB,NB,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,Gasket thk,rf thk,FF Bolt Len,RF Bolt Len
0+1/2,15,16,61,80,6.4,38,4,With Optional Raised Face,12,22.225,0.28,0.14,0.13,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,110,3.3,7,120,135
0+3/4,20,21,67,90,9.7,41,5,With Optional Raised Face,12,22.225,0.52,0.27,0.24,PADDLE BLANK,PADDLE SPACER,0+3/4,20,115,115,3.3,7,130,145
1,25,27,76,100,9.7,64,5,With Optional Raised Face,12,25.4,0.65,0.35,0.3,PADDLE BLANK,PADDLE SPACER,0+7/8,24,125,125,3.3,7,140,155
1+1/4,32,35,86,110,9.7,64,5,With Optional Raised Face,12,25.4,0.82,0.45,0.37,PADDLE BLANK,PADDLE SPACER,0+7/8,24,125,125,3.3,7,140,155
1+1/2,40,41,95,125,12.7,70,7,With Optional Raised Face,12,28.575,1.3,0.71,0.58,PADDLE BLANK,PADDLE SPACER,1,27,140,140,3.3,7,160,175
2,50,53,140,165,12.7,70,7,With Optional Raised Face,12,25.4,2.9,1.56,1.33,PADDLE BLANK,PADDLE SPACER,0+7/8,24,145,145,3.3,7,165,180
2+1/2,65,63,162,190,15.7,76,8,With Optional Raised Face,12,28.575,4.78,2.58,2.19,PADDLE BLANK,PADDLE SPACER,1,27,160,160,3.3,7,180,195
3,80,78,172,205,19.1,76,10,With Optional Raised Face,12,31.75,6.36,3.54,2.81,PADDLE BLANK,PADDLE SPACER,1+1/8,30,180,180,3.3,7,205,220
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,102,206,240,22.4,89,12,With Optional Raised Face,12,34.925,10.47,5.96,4.5,PADDLE BLANK,PADDLE SPACER,1+1/4,33,195,195,3.3,7,225,235
5,130,128,251,290,28.4,89,15,With Optional Raised Face,12,41.275,19.55,11.23,8.31,PADDLE BLANK,PADDLE SPACER,1+1/2,39,250,250,3.3,7,285,300
6,150,154,279,320,35.1,89,18,With Optional Raised Face,12,38.1,29.08,17.15,11.93,PADDLE BLANK,PADDLE SPACER,1+3/8,36,260,265,3.3,7,300,315
8,200,203,349,395,41.1,102,31,With Optional Raised Face,12,44.45,52.23,31.43,20.8,PADDLE BLANK,PADDLE SPACER,1+5/8,42,290,325,3.3,7,335,350
10,250,255,432,480,50.8,114,39,With Optional Raised Face,12,50.8,98.33,59.53,38.79,PADDLE BLANK,PADDLE SPACER,1+7/8,48,335,345,3.3,7,390,405
12,300,303,518,570,60.5,114,46,With Optional Raised Face,12,53.975,169.01,101.94,67.06,PADDLE BLANK,PADDLE SPACER,2,52,375,385,3.3,7,440,455
14,350,333,575,635,66.5,127,50,With Optional Raised Face,12,60.325,229.84,138.07,91.76,PADDLE BLANK,PADDLE SPACER,2+1/4,56,405,425,3.3,7,475,490
16,400,381,638,705,76.2,133,58,With Optional Raised Face,12,66.675,320.1,194.78,125.32,PADDLE BLANK,PADDLE SPACER,2+1/2,64,445,470,3.3,7,525,540
18,450,429,702,775,85.9,146,65,With Optional Raised Face,12,73.025,432.4,265.84,166.56,PADDLE BLANK,PADDLE SPACER,2+3/4,72,495,525,3.3,7,585,600
20,500,478,752,830,95.3,152,72,With Optional Raised Face,12,79.375,540.14,338.44,201.7,PADDLE BLANK,PADDLE SPACER,3,76,540,565,3.3,7,640,655
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,575,899,990,111.3,178,84,With Optional Raised Face,12,92.075,898.71,564.9,333.8,PADDLE BLANK,PADDLE SPACER,3+1/2,90,615,650,3.3,7,730,745
