22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
NB,NB,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,dist betwn flgs,sb len
0+1/2,15,21,51,65,19.1,38,10,Optional Raised Face,12,15.875,0.57,0.31,0.25,PADDLE BLANK,PADDLE SPACER,0+1/2,14,75,75,3,100
0+3/4,20,27,64,80,22.4,45,12,Optional Raised Face,12,19.05,1.04,0.57,0.47,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,90,4,120
1,25,34,70,90,22.4,51,12,Optional Raised Face,12,19.05,1.21,0.68,0.52,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,90,4,120
1+1/4,32,42,79,100,22.4,51,12,Optional Raised Face,12,19.05,1.5,0.87,0.62,PADDLE BLANK,PADDLE SPACER,0+5/8,16,95,95,4,125
1+1/2,40,48,90,115,22.4,57,12,Optional Raised Face,12,22.225,1.95,1.13,0.81,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,110,4,140
2,50,61,108,125,28.4,57,15,Optional Raised Face,12,19.05,3.49,2.08,1.41,PADDLE BLANK,PADDLE SPACER,0+5/8,16,110,110,5,145
2+1/2,65,73,127,150,31.8,57,16,Optional Raised Face,12,22.225,5.37,3.22,2.15,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,120,5,160
3,80,89,146,170,31.8,57,16,Optional Raised Face,12,22.225,6.93,4.25,2.67,PADDLE BLANK,PADDLE SPACER,0+3/4,20,125,125,5,165
3+1/2,90,102,159,185,35.1,64,18,Optional Raised Face,12,25.4,8.85,5.57,3.27,PADDLE BLANK,PADDLE SPACER,0+7/8,24,140,140,5,185
4,100,114,175,215,35.1,64,18,Optional Raised Face,12,25.4,10.63,6.75,3.88,PADDLE BLANK,PADDLE SPACER,0+7/8,24,145,145,5,190
5,130,141,210,265,38.1,70,20,Optional Raised Face,12,28.575,16.34,10.55,5.79,PADDLE BLANK,PADDLE SPACER,1,27,165,165,5,210
6,150,168,241,290,44.5,83,23,Optional Raised Face,12,28.575,24.57,16.23,8.34,PADDLE BLANK,PADDLE SPACER,1,27,170,170,5,220
8,200,219,302,350,50.8,95,39,Optional Raised Face,12,31.75,42.89,29.09,13.79,PADDLE BLANK,PADDLE SPACER,1+1/8,30,190,195,5,255
10,250,273,356,430,57.2,102,43,Optional Raised Face,12,34.925,64.27,45.52,18.75,PADDLE BLANK,PADDLE SPACER,1+1/4,33,215,215,5,280
12,300,324,413,490,63.5,121,48,Optional Raised Face,12,34.925,94.17,68.01,26.15,PADDLE BLANK,PADDLE SPACER,1+1/4,33,220,220,5,290
14,350,356,457,525,66.5,127,50,Optional Raised Face,12,38.1,121.51,87.21,34.29,PADDLE BLANK,PADDLE SPACER,1+3/8,36,235,235,5,310
16,400,406,508,605,73.2,127,55,Optional Raised Face,12,41.275,161.48,118.63,42.85,PADDLE BLANK,PADDLE SPACER,1+1/2,39,255,255,5,335
18,450,457,575,655,79.2,127,60,Optional Raised Face,12,44.45,225.01,164.44,60.56,PADDLE BLANK,PADDLE SPACER,1+5/8,42,275,275,5,360
20,500,508,635,725,88.9,127,67,Optional Raised Face,12,44.45,306.15,225.11,81.04,PADDLE BLANK,PADDLE SPACER,1+5/8,42,285,290,5,385
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,610,749,840,104.6,152,79,Optional Raised Face,12,50.8,492.6,368.51,124.08,PADDLE BLANK,PADDLE SPACER,1+7/8,48,330,335,6,450
