22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
NB,NB,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,dist betwn flgs,sb len
0+1/2,15,21,65,90,25.4,38,13,Optional Raised Face,12,22.225,1.27,0.67,0.6,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,120,4,150
0+3/4,20,27,73,95,28.4,45,15,Optional Raised Face,12,22.225,1.77,0.95,0.82,PADDLE BLANK,PADDLE SPACER,0+3/4,20,125,125,4,160
1,25,34,83,110,28.4,54,15,Optional Raised Face,12,25.4,2.25,1.22,1.02,PADDLE BLANK,PADDLE SPACER,0+7/8,24,140,140,4,175
1+1/4,32,42,102,130,35.1,54,18,Optional Raised Face,12,28.575,4.19,2.29,1.9,PADDLE BLANK,PADDLE SPACER,1,27,150,150,3,190
1+1/2,40,48,114,145,38.1,61,20,Optional Raised Face,12,31.75,5.66,3.1,2.55,PADDLE BLANK,PADDLE SPACER,1+1/8,30,170,170,3,215
2,50,61,133,170,41.1,57,21,Optional Raised Face,12,28.575,8.17,4.56,3.6,PADDLE BLANK,PADDLE SPACER,1,27,180,180,3,225
2+1/2,65,73,149,195,47.8,61,24,Optional Raised Face,12,31.75,11.72,6.66,5.06,PADDLE BLANK,PADDLE SPACER,1+1/8,30,195,205,3,260
3,80,89,168,230,50.8,76,26,Optional Raised Face,12,34.925,15.48,9,6.47,PADDLE BLANK,PADDLE SPACER,1+1/4,33,220,230,3,285
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,114,203,270,63.5,83,48,Optional Raised Face,12,41.275,27.68,16.43,11.25,PADDLE BLANK,PADDLE SPACER,1+1/2,39,255,260,4,330
5,130,141,241,325,73.2,89,55,Optional Raised Face,12,47.625,44.25,26.69,17.56,PADDLE BLANK,PADDLE SPACER,1+3/4,45,300,310,4,390
6,150,168,279,370,82.6,95,62,Optional Raised Face,12,53.975,66.11,40.37,25.73,PADDLE BLANK,PADDLE SPACER,2,52,345,355,4,445
8,200,219,340,440,98.6,95,74,Optional Raised Face,12,53.975,113.46,71.58,41.88,PADDLE BLANK,PADDLE SPACER,2,52,380,395,5,500
10,250,273,425,540,117.3,91,88,Optional Raised Face,12,66.675,211.21,133.05,78.15,PADDLE BLANK,PADDLE SPACER,2+1/2,64,490,510,6,635
12,300,324,495,620,133.4,152,101,Optional Raised Face,12,73.025,322.59,205.27,117.32,PADDLE BLANK,PADDLE SPACER,2+3/4,72,540,560,8,705
