20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,21,65,6.4,38,4,Half Ring Height,12mm indicator hole,15.875,0.19,0.1,0.09,PADDLE BLANK,PADDLE SPACER,0+1/2,14,75,75,85
0+3/4,20,27,80,9.7,45,4,Half Ring Height,12mm indicator hole,19.05,0.31,0.16,0.14,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,90,100
1,25,34,90,9.7,51,4,Half Ring Height,12mm indicator hole,19.05,0.36,0.19,0.16,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,90,100
1+1/4,32,42,100,9.7,57,5,Half Ring Height,12mm indicator hole,19.05,0.67,0.38,0.29,PADDLE BLANK,PADDLE SPACER,0+5/8,16,95,95,105
1+1/2,40,48,115,9.7,57,5,Half Ring Height,12mm indicator hole,22.225,0.91,0.51,0.4,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,110,120
2,50,61,125,12.7,51,5,Half Ring Height,12mm indicator hole,19.05,1.23,0.71,0.52,PADDLE BLANK,PADDLE SPACER,0+5/8,16,110,110,125
2+1/2,65,73,150,15.7,57,7,Half Ring Height,12mm indicator hole,22.225,2.21,1.28,0.92,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,120,140
3,80,89,170,15.7,67,7,Half Ring Height,12mm indicator hole,22.225,2.85,1.7,1.15,PADDLE BLANK,PADDLE SPACER,0+3/4,20,125,125,145
3+1/2,90,102,180,19.1,67,8,Half Ring Height,12mm indicator hole,25.4,4.07,2.49,1.58,PADDLE BLANK,PADDLE SPACER,0+7/8,24,140,140,160
4,100,114,215,19.1,73,8,Half Ring Height,12mm indicator hole,25.4,6.04,3.59,2.44,PADDLE BLANK,PADDLE SPACER,0+7/8,24,145,145,165
5,130,141,265,22.4,73,10,Half Ring Height,12mm indicator hole,28.575,11.4,6.79,4.6,PADDLE BLANK,PADDLE SPACER,1,27,165,165,190
6,150,168,290,28.4,73,12,Half Ring Height,12mm indicator hole,28.575,15.91,9.8,6.11,PADDLE BLANK,PADDLE SPACER,1,27,170,170,200
8,200,219,350,35.1,83,22,Half Ring Height,12mm indicator hole,31.75,28.05,18.03,10.01,PADDLE BLANK,PADDLE SPACER,1+1/8,30,190,195,235
10,250,273,430,41.1,121,27,Half Ring Height,12mm indicator hole,34.925,54,34.74,19.26,PADDLE BLANK,PADDLE SPACER,1+1/4,33,215,215,260
12,300,324,490,47.8,121,31,Half Ring Height,12mm indicator hole,34.925,80.78,53.2,27.58,PADDLE BLANK,PADDLE SPACER,1+1/4,33,220,220,270
14,350,356,525,50.8,121,34,Half Ring Height,12mm indicator hole,38.1,100.19,66.82,33.36,PADDLE BLANK,PADDLE SPACER,1+3/8,36,235,235,290
16,400,406,605,57.2,127,39,Half Ring Height,12mm indicator hole,41.275,151.24,100.76,50.48,PADDLE BLANK,PADDLE SPACER,1+1/2,39,255,255,315
18,450,457,650,63.5,133,41,Half Ring Height,12mm indicator hole,44.45,183.62,125.71,57.9,PADDLE BLANK,PADDLE SPACER,1+5/8,42,275,275,340
20,500,508,720,69.9,127,48,Half Ring Height,12mm indicator hole,44.45,269.2,183.85,85.35,PADDLE BLANK,PADDLE SPACER,1+5/8,42,285,290,360
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,610,840,82.6,152,55,Half Ring Height,12mm indicator hole,50.8,405.6,284.72,120.88,PADDLE BLANK,PADDLE SPACER,1+7/8,48,330,335,420
