20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,21,80,9.7,38,4,Half Ring Height,12mm indicator hole,22.225,0.27,0.14,0.13,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,110,120
0+3/4,20,27,90,9.7,45,4,Half Ring Height,12mm indicator hole,22.225,0.34,0.18,0.16,PADDLE BLANK,PADDLE SPACER,0+3/4,20,115,115,125
1,25,34,100,9.7,51,4,Half Ring Height,12mm indicator hole,25.4,0.43,0.23,0.2,PADDLE BLANK,PADDLE SPACER,0+7/8,24,125,125,135
1+1/4,32,42,110,12.7,54,5,Half Ring Height,12mm indicator hole,25.4,0.81,0.45,0.36,PADDLE BLANK,PADDLE SPACER,0+7/8,24,125,125,140
1+1/2,40,48,125,12.7,54,5,Half Ring Height,12mm indicator hole,28.575,0.98,0.54,0.43,PADDLE BLANK,PADDLE SPACER,1,27,140,140,155
2,50,61,165,15.7,51,7,Half Ring Height,12mm indicator hole,25.4,2.88,1.56,1.32,PADDLE BLANK,PADDLE SPACER,0+7/8,24,145,145,165
2+1/2,65,73,190,19.1,54,7,Half Ring Height,12mm indicator hole,28.575,3.82,2.09,1.73,PADDLE BLANK,PADDLE SPACER,1,27,160,160,180
3,80,89,190,19.1,67,8,Half Ring Height,12mm indicator hole,25.4,4.68,2.68,2,PADDLE BLANK,PADDLE SPACER,0+7/8,24,145,145,165
3+1/2,90,N/A,N/A,N/A,N/A,N/A,Half Ring Height,12mm indicator hole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!
4,100,114,235,25.4,73,10,Half Ring Height,12mm indicator hole,31.75,8.48,4.94,3.54,PADDLE BLANK,PADDLE SPACER,1+1/8,30,170,170,200
5,130,141,280,28.4,73,12,Half Ring Height,12mm indicator hole,34.925,14.18,8.37,5.81,PADDLE BLANK,PADDLE SPACER,1+1/4,33,190,190,220
6,150,168,315,31.8,73,13,Half Ring Height,12mm indicator hole,31.75,21.9,13.04,8.86,PADDLE BLANK,PADDLE SPACER,1+1/8,30,190,195,230
8,200,219,395,41.1,79,27,Half Ring Height,12mm indicator hole,38.1,45.96,27.93,18.02,PADDLE BLANK,PADDLE SPACER,1+3/8,36,220,220,265
10,250,273,470,47.8,121,31,Half Ring Height,12mm indicator hole,38.1,78.21,48.16,30.04,PADDLE BLANK,PADDLE SPACER,1+3/8,36,235,235,285
12,300,324,535,57.2,121,36,Half Ring Height,12mm indicator hole,38.1,117.31,73.55,43.76,PADDLE BLANK,PADDLE SPACER,1+3/8,36,255,255,315
14,350,356,560,60.5,121,41,Half Ring Height,12mm indicator hole,41.275,140.86,90.65,50.2,PADDLE BLANK,PADDLE SPACER,1+1/2,39,275,280,345
16,400,406,615,69.9,127,46,Half Ring Height,12mm indicator hole,44.45,188.73,124.31,64.42,PADDLE BLANK,PADDLE SPACER,1+5/8,42,285,290,360
18,450,457,685,76.2,133,50,Half Ring Height,12mm indicator hole,50.8,252.97,168.39,84.57,PADDLE BLANK,PADDLE SPACER,1+7/8,48,325,335,415
20,500,508,750,85.9,127,55,Half Ring Height,12mm indicator hole,53.975,331.81,222.68,109.13,PADDLE BLANK,PADDLE SPACER,2,52,350,360,450
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!
24,600,610,900,98.6,152,67,Half Ring Height,12mm indicator hole,66.675,579.52,389.25,190.27,PADDLE BLANK,PADDLE SPACER,2+1/2,64,440,455,555
