22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,gap,sb len
0+1/2,15,0.84,2.38,3.25,0.88,1.5,0.47,Optional Raised Face,0.5,0.875,0.98,0.52,0.46,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.25,0.16,5.5
0+3/4,20,1.05,2.62,3.5,1,1.75,0.51,Optional Raised Face,0.5,0.875,1.31,0.71,0.59,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.5,4.5,0.16,5.75
1,25,1.32,2.81,4,1,2.12,0.51,Optional Raised Face,0.5,1,1.42,0.8,0.61,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,0.16,6.25
1+1/4,32,1.66,3.19,4.38,1,2.12,0.51,Optional Raised Face,0.5,1,1.81,1.04,0.76,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,0.16,6.25
1+1/2,40,1.9,3.62,4.88,1.12,2.25,0.59,Optional Raised Face,0.5,1.125,2.6,1.5,1.09,PADDLE BLANK,PADDLE SPACER,1,27,5.5,5.5,0.16,7
2,50,2.38,4.88,6.5,1.38,2.12,0.71,Optional Raised Face,0.5,1,5.95,3.38,2.56,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.75,5.75,0.12,7.5
2+1/2,65,2.88,5.38,7.5,1.5,2.25,0.78,Optional Raised Face,0.5,1.125,7.7,4.49,3.21,PADDLE BLANK,PADDLE SPACER,1,27,6.25,6.25,0.12,8
3,80,3.5,6.62,8,1.75,2.88,0.9,Optional Raised Face,0.5,1.25,13.56,7.88,5.67,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7,7,0.12,9
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,4.5,7.62,9.5,1.88,3,0.94,Optional Raised Face,0.5,1.375,18.69,11.29,7.39,PADDLE BLANK,PADDLE SPACER,1+1/4,33,7.75,7.75,0.12,10
5,130,5.56,9,11.5,2.12,3,1.06,Optional Raised Face,0.5,1.625,28.71,17.71,11,PADDLE BLANK,PADDLE SPACER,1+1/2,39,9.75,9.75,0.12,12
6,150,6.62,9.75,12.5,2.38,3.12,1.22,Optional Raised Face,0.5,1.5,36.01,23.36,12.64,PADDLE BLANK,PADDLE SPACER,1+3/8,36,10.25,10.5,0.12,13.25
8,200,8.62,12.5,15.5,2.88,3.38,2.16,Optional Raised Face,0.5,1.75,70.92,46.48,24.43,PADDLE BLANK,PADDLE SPACER,1+5/8,42,11.5,12.75,0.16,16
10,250,10.75,14.62,19,3.25,5.25,2.44,Optional Raised Face,0.5,2,104.01,71.31,32.69,PADDLE BLANK,PADDLE SPACER,1+7/8,48,13.25,13.5,0.16,17
12,300,12.75,17.25,22.5,4,5.25,3.03,Optional Raised Face,0.5,2.125,177.83,122.4,55.42,PADDLE BLANK,PADDLE SPACER,2,52,14.75,15.25,0.19,19.5
14,350,14,19.25,25,4.38,5.5,3.3,Optional Raised Face,0.5,2.375,245.69,167.13,78.55,PADDLE BLANK,PADDLE SPACER,2+1/4,56,16,16.75,0.22,21.5
16,400,16,21.5,27.75,4.88,5.75,3.7,Optional Raised Face,0.5,2.625,335.93,232.14,103.78,PADDLE BLANK,PADDLE SPACER,2+1/2,64,17.5,18.5,0.31,23.75
18,450,18,24.12,30.5,5.25,6,3.93,Optional Raised Face,0.5,2.875,453.27,313.85,139.41,PADDLE BLANK,PADDLE SPACER,2+3/4,70,19.5,20.75,0.31,26.5
20,500,20,26.5,32.75,5.62,6.5,4.25,Optional Raised Face,0.5,3.125,580.52,405.89,174.62,PADDLE BLANK,PADDLE SPACER,3,76,21.25,22.25,0.38,28.5
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,31.25,39,6.62,7,5,Optional Raised Face,0.5,3.625,938.24,665.53,272.71,PADDLE BLANK,PADDLE SPACER,3+1/2,90,24.25,25.5,0.44,32.75
