20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,0.84,3.25,0.38,1.5,0.15,Half Ring Height,0.5in indicator hole,0.875,0.27,0.14,0.13,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.25,4.75
0+3/4,20,1.05,3.5,0.38,1.75,0.15,Half Ring Height,0.5in indicator hole,0.875,0.34,0.18,0.16,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.5,4.5,5
1,25,1.32,4,0.38,2,0.15,Half Ring Height,0.5in indicator hole,1,0.43,0.23,0.2,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,5.5
1+1/4,32,1.66,4.38,0.5,2.12,0.19,Half Ring Height,0.5in indicator hole,1,0.81,0.45,0.36,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,5.75
1+1/2,40,1.9,4.88,0.5,2.12,0.19,Half Ring Height,0.5in indicator hole,1.125,0.98,0.54,0.43,PADDLE BLANK,PADDLE SPACER,1,27,5.5,5.5,6.25
2,50,2.38,6.5,0.62,2,0.27,Half Ring Height,0.5in indicator hole,1,2.88,1.56,1.32,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.75,5.75,6.5
2+1/2,65,2.88,7.5,0.75,2.12,0.27,Half Ring Height,0.5in indicator hole,1.125,3.82,2.09,1.73,PADDLE BLANK,PADDLE SPACER,1,27,6.25,6.25,7.25
3,80,3.5,7.5,0.75,2.62,0.31,Half Ring Height,0.5in indicator hole,1,4.68,2.68,2,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.75,5.75,6.75
3+1/2,90,N/A,N/A,N/A,N/A,N/A,Half Ring Height,0.5in indicator hole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,4.5,9.25,1,2.88,0.39,Half Ring Height,0.5in indicator hole,1.25,8.48,4.94,3.54,PADDLE BLANK,PADDLE SPACER,1+1/8,30,6.75,6.75,8
5,130,5.56,11,1.12,2.88,0.47,Half Ring Height,0.5in indicator hole,1.375,14.18,8.37,5.81,PADDLE BLANK,PADDLE SPACER,1+1/4,33,7.5,7.5,8.75
6,150,6.62,12.5,1.25,2.88,0.51,Half Ring Height,0.5in indicator hole,1.25,21.9,13.04,8.86,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7.5,7.75,9.25
8,200,8.62,15.5,1.62,3.12,1.06,Half Ring Height,0.5in indicator hole,1.5,45.96,27.93,18.02,PADDLE BLANK,PADDLE SPACER,1+3/8,30,8.75,8.75,10.5
10,250,10.75,18.5,1.88,4.75,1.22,Half Ring Height,0.5in indicator hole,1.5,78.21,48.16,30.04,PADDLE BLANK,PADDLE SPACER,1+3/8,36,9.25,9.25,11.25
12,300,12.75,21,2.25,4.75,1.41,Half Ring Height,0.5in indicator hole,1.5,117.31,73.55,43.76,PADDLE BLANK,PADDLE SPACER,1+3/8,36,10,10,12.5
14,350,14,22,2.38,4.75,1.61,Half Ring Height,0.5in indicator hole,1.625,140.86,90.65,50.2,PADDLE BLANK,PADDLE SPACER,1+1/2,36,10.75,11,13.5
16,400,16,24.25,2.75,5,1.81,Half Ring Height,0.5in indicator hole,1.75,188.73,124.31,64.42,PADDLE BLANK,PADDLE SPACER,1+5/8,39,11.25,11.5,14.5
18,450,18,27,3,5.25,1.97,Half Ring Height,0.5in indicator hole,2,252.97,168.39,84.57,PADDLE BLANK,PADDLE SPACER,1+7/8,48,12.75,13.25,16.5
20,500,20,29.5,3.38,5,2.16,Half Ring Height,0.5in indicator hole,2.125,331.81,222.68,109.13,PADDLE BLANK,PADDLE SPACER,2,52,13.75,14.25,17.75
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,35.5,3.88,6,2.63,Half Ring Height,0.5in indicator hole,2.625,579.52,389.25,190.27,PADDLE BLANK,PADDLE SPACER,2+1/2,68,17.25,18,22
