20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt_size,iso_sb_size,rf_sb_length,rtj_sb_len,sb_len
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,25,1.32,3.12,0.25,2,0.08,Half Ring Height,0.5in indicator hole,0.625,0.14,0.07,0.06,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.5,3,3.5
1+1/4,32,1.66,3.5,0.25,2,0.15,Half Ring Height,0.5in indicator hole,0.625,0.35,0.21,0.14,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.75,3.25,3.75
1+1/2,40,1.9,3.88,0.25,2.25,0.15,Half Ring Height,0.5in indicator hole,0.625,0.46,0.27,0.18,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.75,3.25,3.75
2,50,2.38,4.75,0.25,2.25,0.15,Half Ring Height,0.5in indicator hole,0.75,0.68,0.41,0.26,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.25,3.75,4.25
2+1/2,65,2.88,5.5,0.38,2.25,0.15,Half Ring Height,0.5in indicator hole,0.75,0.7,0.46,0.24,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,4.5
3,80,3.5,6,0.38,2.25,0.15,Half Ring Height,0.5in indicator hole,0.75,1.1,0.71,0.39,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,4.5
3+1/2,90,4,7,0.38,2.5,0.19,Half Ring Height,0.5in indicator hole,0.75,2.44,1.54,0.9,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,4.5
4,100,4.5,7.5,0.38,2.5,0.19,Half Ring Height,0.5in indicator hole,0.75,2.81,1.8,1.01,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,4.5
5,130,5.56,8.5,0.5,3,0.19,Half Ring Height,0.5in indicator hole,0.875,3.37,2.29,1.08,PADDLE BLANK,PADDLE SPACER,0+3/4,20,3.75,4.25,5
6,150,6.62,9.5,0.5,3.25,0.27,Half Ring Height,0.5in indicator hole,0.875,5.39,3.82,1.57,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4,4.5,5.25
8,200,8.62,11.75,0.62,3.75,0.39,Half Ring Height,0.5in indicator hole,0.875,8.32,6.07,2.25,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.75,5.5
10,250,10.75,14.25,0.75,4,0.47,Half Ring Height,0.5in indicator hole,1,15.04,11.19,3.84,PADDLE BLANK,PADDLE SPACER,0+7/8,24,4.5,5,6
12,300,12.75,17,0.88,4.75,0.59,Half Ring Height,0.5in indicator hole,1,26.95,19.77,7.18,PADDLE BLANK,PADDLE SPACER,0+7/8,24,4.75,5.25,6.25
14,350,14,18.75,0.88,5,0.59,Half Ring Height,0.5in indicator hole,1.125,32.94,24.07,8.87,PADDLE BLANK,PADDLE SPACER,1,27,5.25,5.75,6.75
16,400,16,21.25,1,5,0.67,Half Ring Height,0.5in indicator hole,1.125,50.27,36.73,13.54,PADDLE BLANK,PADDLE SPACER,1,27,5.25,5.75,7
18,450,18,22.75,1.12,5,0.78,Half Ring Height,0.5in indicator hole,1.25,61.79,47.55,14.23,PADDLE BLANK,PADDLE SPACER,1+1/8,30,5.75,6.25,7.5
20,500,20,25,1.12,5,0.86,Half Ring Height,0.5in indicator hole,1.25,83.67,64.85,18.82,PADDLE BLANK,PADDLE SPACER,1+1/8,30,6.25,6.75,8
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,29.5,1.38,6,0.94,Half Ring Height,0.5in indicator hole,1.375,129.3,101.8,27.49,PADDLE BLANK,PADDLE SPACER,1+1/4,33,6.75,7.25,8.75
