8,2,3,4,5,6,7,8
NB inch,NB mm,F to F,Base to CL,Removal Dist,__,__,Wt Kg
0+1/2,15,90,60,105,N/A,N/A,0.55
0+3/4,20,110,75,140,N/A,N/A,0.7
1,25,130,93,155,N/A,N/A,1
1+1/4,32,160,120,195,N/A,N/A,1.6
1+1/2,40,160,120,195,N/A,N/A,2
2,50,160,145,250,N/A,N/A,4.5
