8,2,3,4,5,6,7,8
NB inch,NB mm,F to F,Base to CL,Removal Dist,Drn Size,thd depth,Wt Kg
0+1/2,15,80,49,76,15,13,0.55
0+3/4,20,100,57,90,20,14,0.7
1,25,115,72,127,25,26,1
1+1/4,32,135,82,165,32,19,1.6
1+1/2,40,160,98,165,40,21,2
2,50,195,121,205,50,22,4.5
