5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,4.75,2.63,2.63
0+3/4,20,5.12,3,3
1,25,5.88,3.13,3.13
1+1/4,32,6.25,3.13,3.13
1+1/2,40,7,3.6,3.6
2,50,8.5,4.25,4.312
2+1/2,65,9.62,4.37,4.432
3,80,10.5,4.87,4.932
3+1/2,90,N/A,N/A,N/A
4,100,12.25,5.13,5.192
5,130,14.75,6.37,6.432
6,150,15.5,7,7.125
8,200,19,8.63,8.818
10,250,23,10.25,10.438
12,300,26.5,11.37,11.682
14,350,29.5,12,12.375
16,400,32.5,12.5,12.938
18,450,36,13.13,13.568
20,500,38.75,14.25,14.688
22,550,N/A,N/A,N/A
24,600,46,16.25,16.812
