5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,3.75,2.31,2.279
0+3/4,20,4.62,2.5,2.5
1,25,4.88,2.69,2.69
1+1/4,32,5.25,2.87,2.87
1+1/2,40,6.12,3,3
2,50,6.5,3.13,3.192
2+1/2,65,7.5,3.37,3.432
3,80,8.25,3.5,3.562
3+1/2,90,9,3.63,3.692
4,100,10,3.75,3.812
5,130,11,4.25,4.312
6,150,12.5,4.31,4.372
8,200,15,4.87,4.932
10,250,17.5,5.13,5.192
12,300,20.5,5.63,5.692
14,350,23,6.13,6.192
16,400,25.5,6.25,6.312
18,450,28,6.75,6.812
20,500,30.5,6.87,6.995
22,550,N/A,N/A,N/A
24,600,36,7.13,7.318
26,650,38.25,7.87,8.12
28,700,40.75,8.37,8.62
30,750,43,8.87,9.12
32,800,45.25,9.37,9.682
34,850,47.5,9.75,10.062
36,900,50,10.13,10.442
38,950,47.5,8.37,
40,1000,50,8.75,
42,1050,52,9.06,
44,1100,54.5,9.43,
46,1150,56.75,9.87,
48,1200,59.5,10.37,
