5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,3.75,2.06,2.219
0+3/4,20,4.62,2.25,2.44
1,25,4.88,2.44,2.63
1+1/4,32,5.25,2.56,2.75
1+1/2,40,6.12,2.69,2.88
2,50,6.5,2.75,3.002
2+1/2,65,7.5,3,3.252
3,80,8.25,3.12,3.372
3+1/2,90,9,3.19,3.442
4,100,10,3.38,3.632
5,125,11,3.88,4.132
6,150,12.5,3.88,4.132
8,200,15,4.38,4.632
10,250,17.5,4.62,4.872
12,300,20.5,5.12,5.372
14,350,23,5.62,5.872
16,400,25.5,5.75,6.002
18,450,28,6.25,6.502
20,500,30.5,6.38,6.695
22,550,N/A,N/A,N/A
24,600,36,6.62,6.998
26,650,38.25,7.25,7.69
28,700,40.75,7.75,8.19
30,750,43,8.25,8.69
32,800,45.25,8.75,9.252
34,850,47.5,9.13,9.632
36,900,50,9.5,10.002
38,950,46,7.12,
40,1000,48.75,7.62,
42,1050,50.75,7.88,
44,1100,53.25,8.12,
46,1150,55.75,8.5,
48,1200,57.75,8.81,
