5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,3.5,1.24,N/A
0+3/4,20,3.88,2.06,N/A
1,25,4.25,2.18,2.37
1+1/4,32,4.62,2.25,2.44
1+1/2,40,5,2.44,2.63
2,50,6,2.5,2.69
2+1/2,65,7,2.75,2.94
3,80,7.5,2.75,2.94
3+1/2,90,8.5,2.81,3
4,100,9,3,3.19
5,125,10,3.5,3.69
6,150,11,3.5,3.69
8,200,13.5,4,4.19
10,250,16,4,4.19
12,300,19,4.5,4.69
14,350,21,5,5.19
16,400,23.5,5,5.19
18,450,25,5.5,5.69
20,500,27.5,5.68,5.87
22,550,N/A,N/A,N/A
24,600,32,6,6.19
26,650,34.25,4.75,
28,700,36.5,4.94,
30,750,38.75,5.38,
32,800,41.75,5.69,
34,850,43.75,5.88,
36,900,46,6.19,
38,950,48.75,6.19,
40,1000,50.75,6.44,
42,1050,53,6.75,
44,1100,55.25,7,
46,1150,57.25,7.31,
48,1200,59.5,7.56,
