5,2,3,4,5
nb,nb,od,Len rf,Len Rtj
0+1/4,8,N/A,0,0
0+3/8,10,N/A,0,0
0+1/2,15,90,48,46
0+3/4,20,100,53,51
1,25,110,56,60.35
1+1/4,32,115,58,62.35
1+1/2,40,125,62,66.35
2,50,150,64,68.35
2+1/2,65,180,70,74.35
3,80,190,70,74.35
3+1/2,90,215,72,76.35
4,100,230,77,81.35
5,125,255,89,93.35
6,150,280,89,93.35
8,200,345,102,106.35
10,250,405,102,106.35
12,300,485,115,119.35
14,350,535,127,131.35
16,400,595,127,131.35
18,450,635,140,144.35
20,500,700,145,149.35
22,550,N/A,N/A,N/A
24,600,815,153,157.35
26,650,870,121,N/A
28,700,925,126,N/A
30,750,985,137,N/A
32,800,1060,145,N/A
34,850,1110,150,N/A
36,900,1170,158,N/A
38,950,1240,158,N/A
40,1000,1290,164,N/A
42,1050,1345,172,N/A
44,1100,1405,178,N/A
46,1150,1455,186,N/A
48,1200,1510,193,N/A
