5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,120,67,66.35
0+3/4,20,130,77,76.35
1,25,150,80,79.35
1+1/4,32,160,80,79.35
1+1/2,40,180,90,89.35
2,50,215,109,109.92
2+1/2,65,245,112,112.92
3,80,265,124,124.92
3+1/2,90,N/A,N/A,N/A
4,100,310,131,131.92
5,125,375,163,163.92
6,150,395,178,180.53
8,200,485,220,224.13
10,250,585,261,265.13
12,300,675,290,297.27
14,350,750,305,313.88
16,400,825,318,328.48
18,450,915,334,344.48
20,500,985,363,373.48
22,550,N/A,N/A,N/A
24,600,1170,413,426.62
