5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,120,67,66.35
0+3/4,20,130,77,76.35
1,25,150,80,79.35
1+1/4,32,160,80,79.35
1+1/2,40,180,90,89.35
2,50,215,109,109.92
2+1/2,65,245,112,112.92
3,80,240,109,109.92
3+1/2,90,N/A,N/A,N/A
4,100,290,121,121.92
5,125,350,134,134.92
6,150,380,147,147.92
8,200,470,169,169.92
10,250,545,191,191.92
12,300,610,207,207.92
14,350,640,220,224.13
16,400,705,223,227.13
18,450,785,236,241.7
20,500,855,255,260.7
22,550,N/A,N/A,N/A
24,600,1040,299,307.88
26,650,1085,293,303.48
28,700,1170,305,315.48
30,750,1230,318,328.48
32,800,1315,337,347.48
34,850,1395,356,369.62
36,900,1460,369,382.62
38,950,1460,359,
40,1000,1510,371,
42,1050,1560,378,
44,1100,1650,398,
46,1150,1735,418,
48,1200,1785,426,
