5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,95,53,56.54
0+3/4,20,115,58,62.35
1,25,125,62,66.35
1+1/4,32,135,66,70.35
1+1/2,40,155,69,73.35
2,50,165,70,75.92
2+1/2,65,190,77,82.92
3,80,210,80,85.92
3+1/2,90,230,81,86.92
4,100,255,86,91.92
5,125,280,99,104.92
6,150,320,99,104.92
8,200,380,112,117.92
10,250,445,118,123.92
12,300,520,131,136.92
14,350,585,143,148.92
16,400,650,146,151.92
18,450,710,159,164.92
20,500,775,162,169.53
22,550,N/A,N/A,N/A
24,600,915,169,178.13
26,650,970,185,195.7
28,700,1035,197,207.7
30,750,1090,210,220.7
32,800,1150,223,235.27
34,850,1205,232,244.27
36,900,1270,242,254.27
38,950,1170,181,
40,1000,1240,194,
42,1050,1290,200,
44,1100,1355,207,
46,1150,1415,216,
48,1200,1465,224,
