28,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
nb,nb,id 150,landing id 150#,landing od 150#,od 150#,id 300,landing id 300#,landing od 300#,od 300#,id 400,landing id 400#,landing od 400#,od 400#,id 600,landing id 600#,landing od 600#,od 600#,id 900,landing id 900#,landing od 900#,od 900#,150#wtkg,300#wtkg,400#wtkg,600#wtkg,900#wtkg,thk
26,26,25.75,26.5,27.5,28.56,25.75,26.5,28,30.38,25.75,26.25,27.5,29.38,25.38,26.13,28.13,30.13,26.25,27.25,29.5,33,0.897,1.741,1.373,1.778,2.737,0.13
28,28,27.75,28.5,29.5,30.56,27.75,28.5,30,32.5,27.63,28.13,29.5,31.5,27,27.75,29.75,32.25,28.25,29.25,31.5,35.5,0.962,1.928,1.534,2.133,3.197,0.13
30,30,29.75,30.5,31.5,32.56,29.75,30.5,32,34.88,29.63,30.13,31.75,33.75,29.63,30.63,32.63,34.63,30.75,31.75,33.75,37.75,1.028,2.26,1.77,2.062,3.295,0.13
32,32,31.75,32.5,33.5,34.69,31.75,32.5,34,37,31.5,32,33.88,35.88,31.25,32.75,34.75,36.75,33,34,36,40,1.161,3.749,1.951,2.196,3.508,0.13
34,34,33.75,34.5,35.75,36.81,33.75,34.5,36,39.13,33.5,34.13,35.88,37.88,33.5,35,37,39.25,35.25,36.25,38.25,42.25,1.303,2.69,2.066,2.493,3.721,0.13
36,36,35.75,36.5,37.75,38.88,35.75,36.5,38,41.25,35.38,36.13,38,40.25,35.5,37,39,41.25,36.25,37.25,39.25,44.25,1.414,2.918,2.418,2.627,4.507,0.13
38,38,37.75,38.37,39.75,41.13,38.25,39.75,41.25,43.25,37.5,38.25,40.25,42.25,37.5,39,41,43.5,39.75,40.75,42.75,47.25,1.727,2.295,2.544,2.933,4.519,0.13
40,40,39.75,40.25,41.88,43.13,40.25,41.75,43.25,45.25,39.38,40.38,42.38,44.38,39.75,41.25,43.25,45.5,41.75,43.25,45.25,49.25,1.894,2.406,2.678,2.913,4.385,0.13
42,42,41.75,42.5,43.88,45.13,42.75,43.75,45.25,47.25,41.38,42.38,44.38,46.38,42,43.5,45.5,48,43.75,45.25,47.25,51.25,1.817,3.368,2.805,3.253,4.574,0.13
44,44,43.75,44.25,45.88,47.13,44.25,45.75,47.25,49.25,43.5,44.5,46.5,48.5,43.75,45.75,47.75,50,45.5,47.5,49.5,53.88,2.076,2.627,2.939,3.215,5.106,0.13
46,46,45.75,46.5,48.19,49.44,46.38,47.88,49.38,51.88,46,47,49,50.75,45.75,47.75,49.75,52.25,48,50,52,56.5,2.227,3.152,2.896,3.555,5.469,0.13
48,48,47.75,48.5,50,51.44,48.5,49.75,51.63,53.88,47.5,49,51,53,48,50,52,54.75,50,52,54,58.5,2.319,4.347,3.223,-0.435,5.675,0.13
50,50,49.75,50.5,52.19,53.44,49.88,51.88,53.38,55.88,49.5,51,53,55.25,50,52,54,57,N/A,N/A,N/A,N/A,2.412,3.405,3.568,4.306,N/A,0.13
52,52,51.75,52.5,54.19,55.44,51.88,53.88,55.38,57.88,51.5,53,55,57.25,52,54,56,59,N/A,N/A,N/A,N/A,2.505,3.532,3.702,4.464,N/A,0.13
54,54,53.75,54.5,56,57.63,53.75,55.25,57.25,60.25,53.25,55.25,57.25,59.75,54.25,56.25,58.25,61.25,N/A,N/A,N/A,N/A,2.768,5.213,4.089,4.642,N/A,0.13
56,56,56,56.88,58.18,59.63,56.25,58.25,60,62.75,55.25,57.25,59.25,61.75,56.25,58.25,60.25,63.5,N/A,N/A,N/A,N/A,2.867,4.273,4.231,5.05,N/A,0.13
58,58,58.19,59.07,60.19,62.19,58.44,60.44,61.94,65.19,57.25,59.25,61.25,63.75,58,60.5,62.5,65.5,N/A,N/A,N/A,N/A,3.516,-1.123,-0.721,-30.862,N/A,0.13
60,60,60.44,61.31,62.44,64.19,61.31,62.56,64.19,67.19,59.75,61.75,63.75,66.25,60.25,62.75,64.75,68.25,N/A,N/A,N/A,N/A,3.633,6.746,4.551,5.692,N/A,0.13
